engagement_id,customer_id,campaign_id,channel,Sent Count,Delivered Count,Open Rate (%),Click-Through Rate (CTR) (%),engagement_date,engagement_time,conversion_status
63,81995,1,Email,3996,3265,64.18,19.9,2022-04-08 15:51:01,15:51:01,No
64,49619,1,Email,3379,2755,57.25,18.77,2022-05-08 08:24:49,08:24:49,No
65,84361,1,Email,5050,5053,42.74,14.06,2022-05-19 10:36:12,10:36:12,No
66,70854,1,Email,4661,4214,67.05,15.26,2022-05-22 15:27:48,15:27:48,No
67,85420,1,Email,4024,3878,36.44,13.97,2022-05-18 13:27:41,13:27:41,Yes
68,84271,1,Email,4506,3650,61.25,7.62,2022-05-04 15:49:20,15:49:20,Yes
69,73281,1,Email,4570,3980,46.92,16.57,2022-04-16 14:17:03,14:17:03,No
70,82920,1,Email,3841,3656,55.99,13.5,2022-05-16 12:29:15,12:29:15,No
71,10654,1,Email,3515,2799,60.49,14.25,2022-05-10 11:44:22,11:44:22,No
72,55015,1,Email,2844,2602,56.45,7.7,2022-05-14 14:44:18,14:44:18,No
73,5539,1,Email,2973,2725,50.98,16.79,2022-04-11 12:04:10,12:04:10,No
74,82293,1,Email,4671,4176,39.49,14.82,2022-04-27 19:08:06,19:08:06,No
75,88696,1,Email,992,871,60.61,11.47,2022-05-10 11:44:59,11:44:59,No
76,72018,1,Email,4928,3895,36.31,8.57,2022-04-14 11:15:44,11:15:44,No
77,67310,1,Email,5097,4550,40.64,5.7,2022-05-26 06:21:21,06:21:21,No
78,16584,1,Email,1489,1180,66.53,17.74,2022-04-09 15:45:41,15:45:41,No
79,27151,1,Email,4347,3904,39.71,8.18,2022-04-12 14:14:28,14:14:28,No
80,67871,1,Email,1535,1330,36.85,7.83,2022-04-25 09:52:13,09:52:13,No
81,912,1,Email,1304,1181,63.69,20.6,2022-04-14 10:45:47,10:45:47,Yes
82,10087,1,Email,3987,3210,62.11,13.28,2022-04-27 13:04:11,13:04:11,No
83,39628,1,Email,3422,3451,57.18,19.99,2022-04-26 12:33:52,12:33:52,No
84,55280,1,Email,2733,2427,50.33,10.91,2022-04-23 11:31:50,11:31:50,Yes
85,69028,1,Email,1622,1384,45.7,14.42,2022-04-09 06:57:57,06:57:57,Yes
86,90099,1,Email,1784,1470,56.64,13.46,2022-04-15 12:37:00,12:37:00,No
87,22989,1,Email,3863,2944,50.67,11.73,2022-04-19 16:08:10,16:08:10,No
88,31484,1,Email,1996,1685,36.97,6.81,2022-05-26 17:22:30,17:22:30,No
89,25842,1,Email,1044,909,56.57,16.45,2022-04-24 12:03:03,12:03:03,No
90,31650,1,Email,3735,2735,61.89,8.95,2022-04-07 18:12:27,18:12:27,No
91,23993,1,Email,2883,2469,39.67,20.59,2022-04-25 16:07:38,16:07:38,No
92,58409,1,Email,2253,1779,59.94,10.51,2022-05-20 13:14:31,13:14:31,No
93,38471,1,Email,2704,2573,45.89,13.53,2022-04-21 16:51:18,16:51:18,No
94,42854,1,Email,3868,3826,53.99,8.21,2022-05-26 10:00:44,10:00:44,No
95,37436,1,Email,1310,1046,58.26,14.26,2022-04-05 13:51:31,13:51:31,No
96,74618,1,Email,1480,1458,48.63,6.39,2022-05-23 13:12:19,13:12:19,No
97,38002,1,Email,4934,4296,48.71,6.7,2022-04-29 14:03:22,14:03:22,No
98,97721,1,Email,2485,1990,36.29,19.0,2022-05-09 12:34:24,12:34:24,No
99,79148,1,Email,3085,2950,61.56,6.55,2022-04-21 08:52:15,08:52:15,No
100,7192,1,Email,3738,3130,42.51,15.59,2022-05-13 07:52:06,07:52:06,No
101,39757,1,Email,4961,4218,55.01,9.59,2022-04-05 09:18:57,09:18:57,No
102,14028,1,Email,1141,1053,40.52,18.44,2022-04-19 08:48:25,08:48:25,No
103,95864,1,Email,4316,3403,58.25,19.0,2022-04-19 09:44:11,09:44:11,No
104,46582,1,Email,5619,4706,39.44,19.85,2022-04-30 13:26:09,13:26:09,Yes
105,46043,1,Email,1208,951,46.98,16.69,2022-05-13 14:12:57,14:12:57,No
106,82769,1,Email,3154,2832,42.05,5.74,2022-04-06 13:06:37,13:06:37,No
107,66773,1,Email,4557,3741,50.15,14.3,2022-05-16 09:32:06,09:32:06,No
108,25347,1,Email,3957,3214,57.13,10.03,2022-04-05 14:44:43,14:44:43,No
109,28223,1,Email,1144,850,51.43,9.91,2022-05-09 16:11:33,16:11:33,No
110,52487,1,Email,2551,2436,40.23,14.05,2022-04-25 14:25:41,14:25:41,No
111,63364,1,Email,4383,3753,42.74,14.65,2022-05-15 16:12:17,16:12:17,No
112,78022,1,Email,2323,2221,55.66,15.07,2022-04-18 12:35:29,12:35:29,No
113,1012,1,Email,2568,2289,60.78,14.05,2022-04-07 12:22:28,12:22:28,No
114,30249,1,Email,3385,3120,50.35,15.07,2022-04-14 09:27:44,09:27:44,No
115,38427,1,Email,3701,3264,37.99,15.02,2022-05-15 17:23:44,17:23:44,No
116,70934,1,Email,3629,2722,53.88,14.14,2022-05-04 11:21:03,11:21:03,No
117,48135,1,Email,2109,1912,56.89,10.26,2022-04-08 18:20:41,18:20:41,No
118,98280,1,Email,3565,3271,45.65,10.5,2022-04-10 12:52:05,12:52:05,No
119,62459,1,Email,1454,1224,62.88,12.79,2022-05-06 12:19:05,12:19:05,No
120,27166,1,Email,2516,2360,51.89,18.2,2022-05-18 16:42:59,16:42:59,No
121,49982,1,Email,4007,3067,54.75,14.68,2022-04-24 13:44:47,13:44:47,No
122,65469,1,Email,1241,989,74.01,17.85,2022-04-24 17:15:44,17:15:44,No
123,37187,1,Email,3140,2970,46.87,6.68,2022-05-11 13:45:32,13:45:32,No
124,66462,1,Email,3762,3035,54.06,7.2,2022-04-21 11:12:26,11:12:26,No
125,88968,1,Email,1696,1371,52.18,6.09,2022-04-20 06:37:32,06:37:32,No
126,44471,1,Email,1656,1373,37.73,5.67,2022-05-08 11:56:54,11:56:54,No
127,33868,1,Email,1265,1013,60.2,13.52,2022-05-03 16:30:28,16:30:28,No
128,38105,1,Email,4846,4349,49.82,14.07,2022-05-14 05:44:56,05:44:56,Yes
129,10838,1,Email,3170,2484,50.88,18.4,2022-05-20 11:04:53,11:04:53,No
130,75288,1,Email,2490,2174,63.08,17.61,2022-04-12 15:35:08,15:35:08,No
131,98381,1,Email,2393,2065,39.99,17.32,2022-04-10 11:50:12,11:50:12,Yes
132,12153,1,Email,4540,3753,54.53,9.86,2022-05-18 16:57:10,16:57:10,No
133,57525,1,Email,5064,5053,41.39,11.81,2022-05-11 17:02:08,17:02:08,Yes
134,49055,1,Email,3606,3258,46.57,12.12,2022-05-18 12:43:07,12:43:07,Yes
135,89904,1,Email,3235,2949,49.78,5.56,2022-05-26 16:59:55,16:59:55,No
136,63770,1,Email,1986,1686,36.53,8.76,2022-05-12 12:56:09,12:56:09,No
137,86809,1,Email,3145,2365,56.71,8.96,2022-04-18 16:40:30,16:40:30,No
138,22053,1,Email,1951,1782,44.28,13.82,2022-05-26 11:36:27,11:36:27,No
139,58254,1,Email,4675,3515,53.72,16.46,2022-04-09 17:31:06,17:31:06,No
140,40960,1,Email,4420,3944,45.68,12.96,2022-04-18 12:58:12,12:58:12,No
141,88051,1,Email,3850,3493,43.36,15.06,2022-04-25 15:47:33,15:47:33,No
142,27007,1,Email,2570,2423,61.72,6.84,2022-04-22 16:49:47,16:49:47,No
143,13317,1,Email,2750,2567,40.16,9.77,2022-05-17 12:50:18,12:50:18,No
144,43696,1,Email,3722,3386,57.09,5.12,2022-05-10 07:59:11,07:59:11,No
145,40694,1,Email,4164,3642,39.25,14.58,2022-04-26 17:58:24,17:58:24,No
146,58854,1,Email,1462,1309,38.22,12.97,2022-04-18 11:01:22,11:01:22,No
147,30368,1,Email,2505,1987,56.57,11.47,2022-04-27 16:12:11,16:12:11,No
148,41388,1,Email,4871,4080,62.86,14.49,2022-05-08 13:18:29,13:18:29,No
149,15860,1,Email,2576,2153,36.08,18.43,2022-05-01 11:07:42,11:07:42,No
150,5637,1,Email,1183,881,38.09,20.48,2022-05-13 13:37:22,13:37:22,No
151,30942,1,Email,4415,3989,64.7,17.97,2022-04-24 11:50:22,11:50:22,No
152,36606,1,Email,2180,1944,49.86,5.6,2022-05-08 17:10:57,17:10:57,No
153,67617,1,Email,3061,2543,53.65,14.43,2022-04-15 14:15:44,14:15:44,No
154,7101,1,Email,1540,1155,55.77,12.32,2022-05-23 09:03:01,09:03:01,No
155,23126,1,Email,3585,3220,61.3,10.3,2022-04-21 13:40:59,13:40:59,No
156,53782,1,Email,2826,2716,39.99,8.13,2022-04-23 10:27:47,10:27:47,Yes
157,91314,1,Email,899,681,43.27,12.3,2022-04-16 12:47:52,12:47:52,No
158,42763,1,Email,1463,1333,52.76,8.34,2022-05-06 11:34:44,11:34:44,No
159,18789,1,Email,2120,2036,59.21,19.78,2022-05-04 11:59:50,11:59:50,No
160,71018,1,Email,2987,2886,59.18,8.45,2022-05-23 17:12:17,17:12:17,No
161,38116,1,Email,2762,2632,44.07,13.59,2022-05-19 21:40:25,21:40:25,No
162,88954,1,Email,3841,3584,44.24,14.26,2022-04-21 14:22:37,14:22:37,Yes
163,46578,1,Email,3125,2576,52.98,6.61,2022-05-25 09:49:04,09:49:04,No
164,91703,1,Email,4837,4654,38.85,14.78,2022-04-20 17:31:01,17:31:01,No
165,60781,1,Email,971,830,45.38,15.98,2022-04-15 11:02:43,11:02:43,No
166,31789,1,Email,2522,2041,46.54,8.66,2022-04-27 12:59:33,12:59:33,No
167,70863,1,Email,3541,2869,43.81,17.24,2022-05-22 10:14:50,10:14:50,No
168,44234,1,Email,1258,981,44.98,13.61,2022-04-14 11:49:58,11:49:58,No
169,7440,1,Email,2656,2507,62.19,13.67,2022-05-02 09:53:11,09:53:11,No
170,43295,1,Email,1447,1182,40.99,13.25,2022-04-17 14:18:48,14:18:48,No
171,27628,1,Email,3260,2735,52.21,15.33,2022-04-19 15:51:18,15:51:18,No
172,552,1,Email,4028,3470,44.93,11.8,2022-04-29 16:35:21,16:35:21,No
173,12177,1,Email,2155,1687,48.52,15.11,2022-04-20 10:34:16,10:34:16,No
174,2532,1,Email,1393,1084,53.89,9.66,2022-04-08 09:42:02,09:42:02,No
175,94664,1,Email,2063,1841,35.36,18.22,2022-04-07 09:15:18,09:15:18,No
176,2358,1,Email,2369,2070,49.77,10.26,2022-04-24 12:50:34,12:50:34,No
177,70927,1,Email,2126,1979,43.41,5.08,2022-04-19 11:44:16,11:44:16,No
178,20987,1,Email,3201,2601,42.06,10.04,2022-05-21 14:40:22,14:40:22,No
179,33422,1,Email,2033,1577,52.21,13.06,2022-04-30 13:10:20,13:10:20,No
180,27904,1,Email,3610,3079,43.32,5.35,2022-04-11 10:18:41,10:18:41,No
181,79021,1,Email,1586,1528,43.63,9.43,2022-05-03 11:35:55,11:35:55,No
182,40397,1,Email,4638,4312,47.46,10.89,2022-04-12 11:21:43,11:21:43,Yes
183,33119,1,Email,2687,2519,52.88,18.2,2022-04-25 14:28:55,14:28:55,No
184,69067,1,Email,3102,3236,52.47,7.59,2022-05-21 12:49:32,12:49:32,No
185,24504,1,Email,3907,3343,44.86,9.55,2022-05-12 12:18:28,12:18:28,No
186,50083,1,Email,2904,2240,46.76,8.12,2022-05-04 05:30:19,05:30:19,Yes
187,79336,1,Email,4647,4012,49.81,16.63,2022-04-05 13:44:06,13:44:06,No
188,26084,1,Email,1378,1253,60.57,14.16,2022-04-06 10:35:22,10:35:22,No
189,44086,1,Email,4279,3633,51.56,19.42,2022-04-05 09:23:58,09:23:58,No
190,93049,1,Email,4932,4155,44.47,9.37,2022-05-02 19:23:06,19:23:06,No
191,70079,1,Email,4177,3859,49.3,9.79,2022-05-16 15:44:54,15:44:54,No
192,77482,1,Email,3069,2585,48.16,12.66,2022-04-08 14:19:07,14:19:07,No
193,32903,1,Email,2031,1827,56.04,6.89,2022-05-24 14:38:12,14:38:12,No
194,87859,1,Email,2210,2067,40.7,18.6,2022-05-24 10:25:40,10:25:40,Yes
195,40410,1,Email,2257,1835,61.38,5.5,2022-05-13 15:11:51,15:11:51,No
196,6630,1,Email,3764,3018,46.07,10.64,2022-05-01 11:23:40,11:23:40,No
197,26092,1,Email,1931,1521,63.77,18.43,2022-04-13 12:28:29,12:28:29,No
198,92287,1,Email,2073,1979,53.99,10.3,2022-05-24 10:00:20,10:00:20,No
199,49580,1,Email,4112,3792,38.5,15.08,2022-04-25 09:14:48,09:14:48,No
200,35486,1,Email,5211,5302,34.0,6.01,2022-05-06 13:03:01,13:03:01,No
201,15353,1,Email,1478,1357,63.16,18.0,2022-04-22 15:25:15,15:25:15,No
202,13149,1,Email,1555,1408,59.47,10.11,2022-04-30 15:34:36,15:34:36,No
203,25162,1,Email,3174,3060,44.38,10.53,2022-05-24 12:27:55,12:27:55,No
204,5508,1,Email,1367,1275,54.82,18.65,2022-04-13 06:57:58,06:57:58,No
205,66124,1,Email,2678,2282,48.43,9.3,2022-04-27 10:15:10,10:15:10,No
206,54822,1,Email,5545,4617,63.14,10.11,2022-04-08 11:11:12,11:11:12,No
207,72076,1,Email,4187,3405,55.0,6.23,2022-05-09 16:20:46,16:20:46,No
208,68224,1,Email,2145,1900,50.32,12.27,2022-05-03 12:37:21,12:37:21,Yes
209,83845,1,Email,1246,1028,51.91,11.21,2022-05-07 16:51:49,16:51:49,No
210,97527,1,Email,4553,4240,40.11,19.1,2022-05-12 10:24:28,10:24:28,No
211,22984,1,Email,2429,2182,60.5,19.18,2022-05-14 11:25:55,11:25:55,No
212,94990,1,Email,3383,3130,39.46,17.29,2022-04-24 15:20:59,15:20:59,No
213,32612,1,Email,1176,1010,43.08,11.89,2022-05-26 14:45:40,14:45:40,No
214,25408,1,Email,1168,1004,65.99,13.2,2022-04-25 13:11:56,13:11:56,No
215,96760,1,Email,2010,2078,53.26,18.02,2022-05-25 15:58:29,15:58:29,No
216,60470,1,Email,2878,2324,74.33,5.53,2022-05-25 12:58:57,12:58:57,No
217,88381,1,Email,4015,3343,45.23,18.86,2022-04-29 14:25:49,14:25:49,No
218,6200,1,Email,2994,2415,57.87,12.13,2022-04-28 10:33:06,10:33:06,Yes
219,86047,1,Email,4280,3895,49.13,8.18,2022-04-22 13:16:32,13:16:32,No
220,59482,1,Email,4997,4510,49.88,5.93,2022-05-12 13:26:15,13:26:15,No
221,27783,1,Email,1190,1016,60.67,17.48,2022-05-19 08:42:40,08:42:40,No
222,3787,1,Email,922,786,37.42,14.17,2022-05-26 07:10:00,07:10:00,No
223,51578,1,Email,2019,1655,39.79,12.35,2022-04-13 13:17:16,13:17:16,No
224,16884,1,Email,3307,3106,76.66,15.93,2022-04-19 13:22:06,13:22:06,No
225,92766,1,Email,4307,3648,44.99,6.68,2022-04-09 15:33:12,15:33:12,No
226,98407,1,Email,3568,2853,68.93,14.21,2022-05-06 10:57:43,10:57:43,No
227,48857,1,Email,3766,3033,40.44,11.76,2022-05-08 14:04:47,14:04:47,No
228,49336,1,Email,1869,1634,48.51,8.79,2022-04-30 13:17:21,13:17:21,No
229,11010,1,Email,1140,940,54.57,8.75,2022-04-22 11:36:15,11:36:15,No
230,96969,1,Email,3885,2947,41.58,13.22,2022-05-02 14:42:08,14:42:08,Yes
231,56684,1,Email,4543,4377,56.2,19.52,2022-05-05 15:49:35,15:49:35,No
232,15268,1,Email,3393,2927,34.77,7.94,2022-05-23 15:59:21,15:59:21,No
233,33951,1,Email,1792,1476,39.05,9.14,2022-04-15 10:59:45,10:59:45,No
234,14764,1,Email,1226,1204,51.16,16.18,2022-05-12 15:57:20,15:57:20,No
235,73584,1,Email,2789,2249,54.42,14.6,2022-05-25 13:54:53,13:54:53,No
236,7383,1,Email,1931,1751,40.13,6.8,2022-05-09 04:25:07,04:25:07,No
237,45452,1,Email,2463,1890,45.35,6.37,2022-04-13 16:17:51,16:17:51,No
238,58467,1,Email,2982,2926,58.18,17.9,2022-04-05 13:22:27,13:22:27,No
239,74908,1,Email,1708,1499,56.86,6.91,2022-05-08 14:04:58,14:04:58,Yes
240,95998,1,Email,2489,2344,63.46,16.98,2022-04-12 17:54:44,17:54:44,No
241,94611,1,Email,4634,4052,43.0,16.1,2022-05-12 15:55:15,15:55:15,No
242,93074,1,Email,2012,1659,60.17,18.18,2022-04-08 10:42:59,10:42:59,No
243,69681,1,Email,2029,1800,44.67,13.63,2022-04-30 12:35:02,12:35:02,No
244,4693,1,Email,2641,2044,45.21,17.63,2022-04-28 16:48:04,16:48:04,Yes
245,54706,1,Email,3404,3166,43.63,12.61,2022-04-11 13:30:08,13:30:08,No
246,96688,1,Email,2869,2053,60.99,6.23,2022-04-17 09:37:25,09:37:25,No
247,30405,1,Email,1558,1346,46.49,12.63,2022-04-25 14:20:20,14:20:20,No
248,16541,1,Email,3361,3054,48.91,13.37,2022-05-25 12:39:33,12:39:33,No
249,31132,1,Email,1316,1159,37.58,10.97,2022-04-24 11:33:39,11:33:39,No
250,25030,1,Email,2071,1586,63.74,7.93,2022-05-05 14:20:42,14:20:42,No
251,25857,1,Email,3518,3111,43.48,14.6,2022-04-05 10:31:50,10:31:50,No
252,52393,1,Email,4549,3632,56.56,10.51,2022-04-11 10:56:11,10:56:11,No
253,61271,1,Email,3809,3642,59.01,11.38,2022-04-10 14:16:47,14:16:47,No
254,10266,1,Email,1481,1310,56.84,19.24,2022-04-18 10:56:30,10:56:30,No
255,98898,1,Email,2246,2262,44.93,5.6,2022-04-28 10:07:38,10:07:38,No
256,56627,1,Email,2967,2643,36.25,9.52,2022-04-30 19:03:15,19:03:15,No
257,4001,1,Email,4727,3842,57.49,13.89,2022-04-15 16:49:11,16:49:11,No
258,72695,1,Email,3709,3522,55.63,20.7,2022-04-17 11:08:29,11:08:29,No
259,82027,1,Email,5616,5274,37.89,7.49,2022-05-06 14:11:02,14:11:02,No
260,16518,1,Email,920,812,39.75,10.5,2022-04-25 10:33:21,10:33:21,No
261,99775,1,Email,1464,1189,38.29,16.96,2022-05-03 10:09:28,10:09:28,No
262,83030,1,Email,2475,2277,45.48,17.07,2022-04-22 14:57:04,14:57:04,No
263,15677,1,Email,2373,2167,37.55,12.75,2022-05-01 10:44:48,10:44:48,No
264,48669,1,Email,2192,1891,42.58,9.21,2022-05-19 17:31:11,17:31:11,Yes
265,19902,1,Email,2878,2304,44.75,6.76,2022-05-21 11:05:18,11:05:18,No
266,29897,1,Email,4463,4232,58.57,11.68,2022-05-11 11:25:09,11:25:09,No
267,71590,1,Email,1756,1524,59.88,15.91,2022-04-08 08:56:26,08:56:26,No
268,9402,1,Email,4618,3951,63.0,6.28,2022-05-20 09:24:54,09:24:54,No
269,2092,1,Email,2723,2131,40.25,6.13,2022-05-03 10:18:46,10:18:46,No
270,37482,1,Email,2034,2024,61.65,13.63,2022-04-07 08:02:40,08:02:40,Yes
271,47200,1,Email,3102,2365,41.69,9.22,2022-05-25 12:47:30,12:47:30,No
272,9569,1,Email,3552,3495,59.65,6.91,2022-04-16 16:22:44,16:22:44,No
273,60441,1,Email,2637,2257,46.27,13.1,2022-05-04 12:45:52,12:45:52,No
274,74111,1,Email,4497,4047,64.89,11.77,2022-05-04 10:31:01,10:31:01,No
275,15055,1,Email,5048,3977,50.07,17.24,2022-05-16 15:53:11,15:53:11,No
276,8638,1,Email,1784,1502,46.29,14.47,2022-04-19 11:57:55,11:57:55,Yes
277,16227,1,Email,3536,3208,40.58,13.27,2022-05-05 12:20:46,12:20:46,No
278,8215,1,Email,3351,3258,54.33,15.89,2022-05-18 12:42:43,12:42:43,No
279,45687,1,Email,4343,4100,51.1,10.44,2022-04-06 16:34:34,16:34:34,No
280,59666,1,Email,2305,1852,45.75,10.73,2022-04-15 13:06:04,13:06:04,No
281,95453,1,Email,4688,3794,55.73,10.74,2022-05-15 11:05:28,11:05:28,No
282,59746,1,Email,3525,2941,53.43,9.8,2022-04-29 16:26:19,16:26:19,No
283,78402,1,Email,4726,3895,48.05,11.16,2022-04-16 15:27:28,15:27:28,No
284,84147,1,Email,3284,2776,51.69,13.09,2022-05-12 13:50:01,13:50:01,No
285,86899,1,Email,4767,3925,51.54,16.63,2022-04-06 09:13:44,09:13:44,No
286,40651,1,Email,3369,2934,42.86,18.58,2022-05-07 14:16:20,14:16:20,No
287,70971,1,Email,4850,3881,38.9,7.05,2022-05-10 08:32:56,08:32:56,No
288,80905,1,Email,1339,1116,43.94,13.22,2022-04-17 07:03:37,07:03:37,No
289,41268,1,Email,2123,1947,44.91,19.12,2022-04-28 19:23:41,19:23:41,Yes
290,6118,1,Email,3871,3823,61.09,9.51,2022-04-05 08:00:06,08:00:06,No
291,56714,1,Email,1941,1613,47.99,15.26,2022-05-21 11:55:52,11:55:52,No
292,87454,1,Email,3366,3088,42.5,13.32,2022-05-25 15:40:49,15:40:49,No
293,74702,1,Email,1576,1478,44.51,14.33,2022-05-20 09:30:39,09:30:39,No
294,95884,1,Email,1646,1399,49.6,15.84,2022-04-11 12:17:24,12:17:24,No
295,1699,1,Email,2603,2631,47.24,6.11,2022-04-09 17:47:16,17:47:16,No
296,69419,1,Email,5012,4232,43.76,8.31,2022-04-12 14:20:46,14:20:46,No
297,7610,1,Email,4221,4090,56.21,12.45,2022-04-15 07:26:18,07:26:18,No
298,33727,1,Email,4236,3422,74.4,15.25,2022-05-06 12:49:21,12:49:21,No
299,97675,1,Email,2839,2607,54.3,15.53,2022-04-07 13:40:11,13:40:11,Yes
300,92505,1,Email,2970,2341,56.6,10.61,2022-05-12 14:33:37,14:33:37,Yes
301,71567,1,Email,3094,2582,40.84,10.38,2022-05-08 12:17:03,12:17:03,No
302,81389,1,Email,1394,1248,35.37,16.45,2022-04-13 12:57:11,12:57:11,No
303,89667,1,Email,4474,3312,53.84,15.04,2022-05-10 10:44:11,10:44:11,No
304,51681,1,Email,2281,2132,57.32,8.55,2022-04-08 13:26:02,13:26:02,No
305,95926,1,Email,2396,1960,64.12,14.46,2022-04-06 15:17:00,15:17:00,No
306,70079,1,Email,3965,4035,54.79,17.74,2022-04-13 11:01:43,11:01:43,No
