age,credit_default,income,credit_card,personal_loan,mortgage,savings_account,investment_product,auto_loan,wealth_management,days_since_last_transaction,current_balance,peak_month,peak_month_spending,peak_month_frequency,total_transactions_3m,total_transactions_6m,total_transactions_12m,total_transaction_amount_3m,total_transaction_amount_6m,total_transaction_amount_12m,average_transaction_amount_3m,average_transaction_amount_6m,average_transaction_amount_12m,transaction_frequency_3m,transaction_frequency_6m,transaction_frequency_12m,high_value_transaction_rate_3m,high_value_transaction_rate_6m,high_value_transaction_rate_12m,online_transaction_ratio_3m,online_transaction_ratio_6m,online_transaction_ratio_12m,has_mobile_app,has_web_account,mobile_logins_per_week,web_logins_per_week,avg_mobile_session_duration,avg_web_session_duration,job_blue-collar,job_entrepreneur,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_married,marital_single,education_secondary,education_tertiary,region_Suburban,region_Urban,cluster
44,0,3601,1,0,1,1,0,0,1,9,4834.218050021126,9,10387.88668673232,42,96,177,489,14340.649610576776,44494.23245005145,51528.069290548105,149.3817667768414,251.3798443505732,105.37437482729672,32.0,29.5,40.75,0.0833333333333333,0.1073446327683615,0.1104294478527607,0.681167868540194,0.5971232685797231,0.6583758552540097,1,1,5,4,3.2,5.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
50,0,3108,1,1,1,1,1,0,0,74,4848.84136222098,10,5766.998243961866,44,81,232,440,11790.843652412335,55223.1587309647,35431.59012864879,145.56597101743623,238.03085659898576,80.52634120147454,27.0,38.66666666666666,36.66666666666666,0.0987654320987654,0.0603448275862069,0.0636363636363636,0.6174900869929383,0.6548805129617158,0.7441188111675596,1,1,5,4,3.1,6.2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
52,0,3499,1,0,1,1,0,1,0,16,6964.476119813907,9,14775.29534894521,44,101,148,391,20778.647392337145,27878.671247885253,64796.48879728776,205.729182102348,188.369400323549,165.7199201976669,33.666666666666664,24.666666666666668,32.583333333333336,0.0396039603960396,0.0675675675675675,0.0588235294117647,0.6412850467649126,0.6828673272841493,0.6175650442703672,1,1,5,8,5.3,7.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
44,0,6847,1,1,0,1,0,1,1,5,14451.72528323488,1,50822.76297919548,56,131,282,499,45621.75928858445,86169.4595722575,237529.28814673665,348.2577044930111,305.56545947609044,476.0105974884502,43.66666666666666,47.0,41.583333333333336,0.0610687022900763,0.1063829787234042,0.1322645290581162,0.7079999869216304,0.7354439584102392,0.7010944353937084,1,1,6,5,6.4,4.5,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2
36,0,2369,1,0,1,1,0,1,0,9,2612.2177811783536,4,8270.569780354259,45,77,266,388,9810.83165100065,43623.826499347706,44566.48227534157,127.41339806494352,163.99934774190868,114.8620677199525,25.666666666666668,44.333333333333336,32.333333333333336,0.1298701298701298,0.0714285714285714,0.0876288659793814,0.6780513432437683,0.727876360472693,0.5448551801803019,1,1,11,7,0.1,5.6,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
25,0,4092,1,1,0,1,0,1,0,2,6809.295835828935,2,17322.911130718447,60,128,190,561,28667.21850370208,38089.87820045665,90009.77305021441,223.9626445601725,200.47304316029815,160.44522825350165,42.66666666666666,31.666666666666668,46.75,0.15625,0.0578947368421052,0.1194295900178253,0.7142808916226855,0.6859822526129528,0.7234649100426138,1,1,11,6,3.1,4.2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
53,0,2463,1,1,0,1,1,1,0,0,3764.5628307688735,3,15022.319080530977,42,106,232,355,16099.509024964504,22659.57114377305,62987.16005383193,151.88216061287267,97.67056527488384,177.4286198699491,35.333333333333336,38.66666666666666,29.58333333333333,0.0471698113207547,0.0991379310344827,0.0845070422535211,0.6666141128463862,0.6367829600027041,0.6456063259194339,1,1,6,8,3.5,6.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
35,0,4242,1,1,1,1,0,1,1,23,5668.274135658129,11,25130.183617294948,54,145,233,468,26430.628899926432,46767.30647621943,163889.46868346544,182.28019930983743,200.71805354600616,350.19117240056715,48.333333333333336,38.833333333333336,39.0,0.2137931034482758,0.1759656652360515,0.1153846153846153,0.6132386275759515,0.8074388160843515,0.6084798967258758,1,1,10,5,4.3,2.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
39,0,3759,1,0,1,1,0,1,0,10,4271.327790492528,11,8628.923776655989,52,107,233,422,18861.08104231933,24744.122065660085,36562.54152276909,176.2717854422367,106.19794877965704,86.64109365585092,35.666666666666664,38.833333333333336,35.166666666666664,0.0841121495327102,0.0858369098712446,0.0853080568720379,0.6387435354728084,0.6289453992458695,0.7042089710716137,1,1,10,5,3.3,4.4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
28,0,2998,1,0,0,1,1,0,1,19,3850.077340762237,3,16657.149779136653,49,111,247,469,18568.653230263622,22230.689437888905,73923.88754022088,167.2851642366092,90.00279124651378,157.62022929684622,37.0,41.16666666666666,39.083333333333336,0.054054054054054,0.1497975708502024,0.1044776119402985,0.6659629772943204,0.7313227966667395,0.6855507929476504,1,1,12,5,2.9,3.8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
43,0,3769,1,0,0,1,0,1,0,0,9230.81275230344,5,14339.252832501052,44,93,170,418,17737.752085673415,48554.85385945803,93768.71042741142,190.72851705025175,285.61678740857667,224.32705843878333,31.0,28.33333333333333,34.833333333333336,0.043010752688172,0.0647058823529411,0.0980861244019138,0.6760825647778557,0.6060835565320308,0.6471607561904466,1,1,7,6,2.7,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
28,0,5367,1,1,1,1,1,1,1,5,6262.99545486689,7,14421.903523935423,54,156,308,587,48088.22163021632,126650.1877259111,87477.59080778311,308.25783096292514,411.2019082010101,149.02485657203255,52.0,51.333333333333336,48.91666666666666,0.0641025641025641,0.0616883116883116,0.0817717206132879,0.750395684198789,0.7508374060949037,0.7140308652417245,1,1,10,4,1.6,6.3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2
32,0,3500,1,1,1,1,1,0,0,20,7948.326704016374,10,6964.250949504709,52,104,240,440,17899.815740102593,36335.782330604176,36423.84908107054,172.11361288560184,151.39909304418407,82.78147518425124,34.666666666666664,40.0,36.66666666666666,0.1346153846153846,0.1458333333333333,0.1431818181818182,0.6552107023387764,0.6631704310477938,0.7235461905962819,1,1,11,4,4.0,6.2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
47,0,2511,0,1,1,0,1,1,0,12,6448.243344905804,12,10016.237399481304,46,88,231,414,11832.791032876436,23304.528605768897,58226.47401271613,134.46353446450496,100.88540521977878,140.6436570355462,29.33333333333333,38.5,34.5,0.0454545454545454,0.1125541125541125,0.0869565217391304,0.6035384839663743,0.5990356296830438,0.7127838580792419,1,1,6,3,3.8,7.8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
75,0,2356,1,0,0,1,0,0,0,57,4105.344837953023,2,5439.837334201113,14,27,78,148,3725.91343422611,7465.718422547719,34206.262924712704,137.9967938602263,95.7143387506118,231.1233981399507,9.0,13.0,12.333333333333334,0.1851851851851851,0.0512820512820512,0.1351351351351351,0.3574432408328782,0.4130554135316178,0.4743651222771279,1,0,7,0,4.1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
34,0,4620,1,0,1,1,0,1,1,17,7621.375606106327,11,18952.694121011256,41,117,209,450,33571.87760599551,73243.73497631695,104300.59509431114,286.9391248375685,350.44849270965045,231.77910020958032,39.0,34.833333333333336,37.5,0.1538461538461538,0.124401913875598,0.1133333333333333,0.6697861579288853,0.6917642786242312,0.6696261926736056,1,1,10,4,3.9,1.7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
45,0,1755,1,0,1,1,0,1,1,101,2592.098534581882,5,2363.4121782439106,44,0,187,337,0.0,16157.68490058764,10094.13371449486,0.0,86.40473208870397,29.95291903410937,0.0,31.166666666666668,28.08333333333333,0.0,0.0481283422459893,0.0474777448071216,0.0,0.6196394713319601,0.6670734527276333,1,1,8,5,6.5,6.8,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
52,0,4168,0,1,0,1,1,1,0,10,5460.847545215452,4,27247.915525314747,50,111,263,468,22556.60313632296,39187.85676561898,120634.33278599306,203.2126408677744,149.00325766395048,257.765668346139,37.0,43.833333333333336,39.0,0.1351351351351351,0.11787072243346,0.1175213675213675,0.6521133613699835,0.6219839538670836,0.6217852431601254,0,1,0,8,0.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
61,0,4550,1,0,0,1,0,0,0,0,4569.84945666862,3,32764.073160045096,36,64,154,276,14538.628530456925,17371.6921188103,134522.1779556193,227.16607078838945,112.80319557669026,487.3991954913742,21.33333333333333,25.666666666666668,23.0,0.109375,0.1688311688311688,0.1594202898550724,0.4755147072665098,0.4580217175370535,0.5445282150721834,1,1,5,8,4.4,3.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
58,0,713,1,1,1,0,0,1,0,20,1504.3915799867286,5,2239.4283030607307,27,54,105,263,1779.304403105365,5213.6979337369785,11738.147674441838,32.95008153898824,49.65426603559027,44.63174020700318,18.0,17.5,21.916666666666668,0.0,0.0761904761904762,0.0722433460076045,0.5777283994490509,0.567705421892938,0.5399900899851755,1,0,9,0,4.1,0.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
21,0,140,1,1,1,1,0,0,0,17,155.62802243246512,9,718.0242842091251,32,76,158,358,470.21203036355394,995.3643672865546,3386.7647078112736,6.187000399520446,6.2997744764971815,9.46023661399797,25.33333333333333,26.33333333333333,29.83333333333333,0.0526315789473684,0.0759493670886076,0.053072625698324,0.7161872734371447,0.7556841748935222,0.6930360181448945,1,1,7,5,4.1,6.5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
45,0,6284,0,1,1,0,1,0,1,11,11596.576645627809,2,49901.54451852346,53,132,265,517,39519.633061089655,81108.37714395969,285556.69626432424,299.3911595537095,306.06934771305544,552.334035327513,44.0,44.16666666666666,43.083333333333336,0.0757575757575757,0.1396226415094339,0.1179883945841392,0.6345664659304462,0.8348512591999522,0.6658871184079529,1,0,6,0,5.8,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2
42,0,3539,1,1,0,1,0,1,0,12,3635.2387202368727,9,9164.294042717966,49,98,247,407,20014.06762134308,41246.677548668165,56034.65396915847,204.22517980962328,166.990597363029,137.67728247950484,32.666666666666664,41.16666666666666,33.916666666666664,0.0612244897959183,0.068825910931174,0.0515970515970515,0.6800316256577176,0.6702004101086564,0.6348812899624496,1,1,6,6,2.2,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,0,3009,1,0,1,1,0,1,0,7,5306.966279335029,3,10721.66253066208,41,89,155,350,14493.2718108946,20971.81751603645,46670.82592946182,162.845750684209,135.30204849055778,133.34521694131948,29.666666666666668,25.83333333333333,29.166666666666668,0.0674157303370786,0.0967741935483871,0.0657142857142857,0.6054826523138801,0.6438703906057447,0.6818234974321782,1,1,4,7,4.8,8.1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
63,0,1150,1,1,1,1,0,0,0,17,3044.689952764946,11,4528.296271547304,31,86,81,275,5339.2180558527625,4203.719162309107,23108.76630853277,62.08393088200887,51.8977674359149,84.0318774855737,28.666666666666668,13.5,22.916666666666668,0.0465116279069767,0.0493827160493827,0.04,0.5759543300059158,0.5025123899015408,0.4249888622472295,0,1,0,8,0.0,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50,0,3875,1,0,0,1,0,1,0,12,8024.43446919726,6,8837.069274565258,50,114,172,475,22187.51845757594,57075.84430837009,45425.66192631266,194.62735489101703,331.83630411843075,95.6329724764477,38.0,28.666666666666668,39.583333333333336,0.1052631578947368,0.1104651162790697,0.1242105263157894,0.6210190641414802,0.6809934544666292,0.6910644676775745,1,1,6,5,5.7,3.7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
47,0,2300,1,1,0,1,0,1,0,8,5132.9843036592,6,7486.005108348486,46,94,205,403,10297.557017734134,27088.1735467204,30372.87670386697,109.54847891206524,132.13743193522146,75.3669397118287,31.33333333333333,34.166666666666664,33.583333333333336,0.0531914893617021,0.0878048780487804,0.1017369727047146,0.6062791157824392,0.6727493955492212,0.6421241061779454,0,1,0,7,0.0,6.9,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
43,0,3007,1,0,1,1,0,0,0,25,7969.421523635855,4,5785.224609738063,50,94,162,444,14009.688586373666,26782.11213719476,26002.971945440808,149.0392402805709,165.32167985922692,58.56525212937119,31.33333333333333,27.0,37.0,0.1595744680851064,0.1481481481481481,0.081081081081081,0.6462932105955815,0.6868083711551136,0.6663442662585529,1,1,6,5,0.5,4.6,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
61,0,532,1,0,1,1,1,0,0,78,792.9909416761354,9,584.0239186369269,18,33,74,184,861.716913499647,2536.3166511841746,2849.4668706057814,26.112633742413543,34.274549340326686,15.486232992422725,11.0,12.333333333333334,15.333333333333334,0.0606060606060606,0.0675675675675675,0.0434782608695652,0.4754184347884239,0.4403460269480951,0.4822503807031737,1,0,5,0,6.2,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
41,0,3695,1,1,1,1,1,1,0,0,9386.316124328896,12,10040.672697147624,46,94,182,437,16844.062866069304,36051.1261583157,61380.66161474163,179.19215814967345,198.0831107599764,140.45917989643394,31.33333333333333,30.33333333333333,36.41666666666666,0.1170212765957446,0.1483516483516483,0.1167048054919908,0.6376965111070717,0.6613564613589797,0.6699233166245709,1,1,6,4,4.7,4.6,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
30,0,2507,1,1,0,1,0,1,0,35,6385.159207311582,8,6423.648788690251,35,89,192,351,11105.643080815662,24515.552744441266,35674.82738477127,124.78250652601866,127.68517054396492,101.6376848568982,29.666666666666668,32.0,29.25,0.1011235955056179,0.109375,0.1054131054131054,0.7516235663212745,0.6187228623114523,0.6287972440061175,1,1,8,5,2.9,10.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
66,0,6643,0,0,1,1,0,1,1,0,8001.458952032662,5,29728.57590626445,42,100,148,383,29846.3545981886,49606.85742160877,170249.81010329412,298.463545981886,335.18146906492416,444.5164754655199,33.333333333333336,24.666666666666668,31.916666666666668,0.14,0.1283783783783783,0.1201044386422976,0.5451935117266573,0.6383255340339711,0.5600860093060381,1,1,8,8,4.8,4.7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2
43,0,2465,1,1,1,1,0,1,0,11,4478.37249946617,10,8561.712317925698,49,80,187,383,9299.99219139359,21724.0790021198,47855.567717777696,116.24990239241988,116.17154546588128,124.94926297069895,26.666666666666668,31.166666666666668,31.916666666666668,0.0875,0.1122994652406417,0.1096605744125326,0.6304847778311835,0.6836772685857795,0.6807556060677442,1,1,6,5,2.4,2.7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
37,0,1304,0,1,1,1,0,1,0,31,1940.5419094647984,3,5408.0193796236745,45,115,158,411,7323.58597689845,12399.268834333498,23883.71000594245,63.683356320856085,78.4763850274272,58.11121655947068,38.333333333333336,26.33333333333333,34.25,0.0347826086956521,0.0379746835443038,0.0559610705596107,0.7104994074389691,0.589233944209118,0.6218028879491905,0,1,0,5,0.0,5.8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
53,0,3814,1,1,1,1,0,1,0,55,6914.826094674981,12,16819.76524899289,51,110,201,444,20539.911752289256,41948.26302199322,99722.71432740764,186.72647047535688,208.69782598006577,224.60070794461183,36.66666666666666,33.5,37.0,0.0909090909090909,0.0646766169154228,0.0855855855855855,0.7359688800103871,0.64931362857535,0.7604152973789492,1,1,7,7,5.0,4.8,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
59,0,3450,1,0,0,1,0,0,0,25,5171.902840204846,10,21512.791635904985,54,97,183,496,16184.0758294344,18230.41012040094,122705.22518534116,166.84614257148866,99.61972743388492,247.3895669059297,32.333333333333336,30.5,41.333333333333336,0.1237113402061855,0.081967213114754,0.1008064516129032,0.6196981664893213,0.6757395596829546,0.7833320005790019,1,0,7,0,2.8,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
33,0,816,1,0,1,1,0,1,0,8,1053.8529518982416,6,2153.4846910782094,27,60,116,245,2547.2659403264474,4337.997869631732,9095.010747894978,42.454432338774126,37.39653335889424,37.12249284855093,20.0,19.33333333333333,20.416666666666668,0.0333333333333333,0.0344827586206896,0.0408163265306122,0.5772969776461114,0.6071414930215133,0.5313676657040776,1,0,9,0,2.1,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
32,0,6651,1,1,1,0,1,0,0,0,8197.912979567098,1,23032.414690750364,56,93,237,550,31526.377667253124,120363.5625638436,116630.26483195418,338.9933082500336,507.8631331807746,212.0550269671894,31.0,39.5,45.833333333333336,0.1612903225806451,0.1223628691983122,0.1163636363636363,0.616728247461936,0.7397741148295328,0.755480817151263,1,1,11,5,3.5,0.3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2
67,0,2209,0,1,1,1,0,0,0,120,3370.709201519683,3,3311.5076656228325,17,0,78,163,0.0,12101.716603523944,14927.414074218756,0.0,155.1502128656916,91.57922744919482,0.0,13.0,13.583333333333334,0.0,0.0897435897435897,0.0797546012269938,0.0,0.4240316616374543,0.4697505728243639,0,1,0,9,0.0,5.0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
53,0,323,1,1,1,0,1,0,0,0,823.1086946069596,6,886.919010358279,27,47,116,240,786.574169126298,2477.864262040185,5093.475675090943,16.735620619708467,21.36089881069125,21.22281531287893,15.666666666666666,19.33333333333333,20.0,0.0638297872340425,0.0603448275862069,0.0791666666666666,0.543354231934901,0.5535654056134327,0.6433602237516297,1,1,6,7,3.5,5.3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
42,0,3392,1,0,1,1,1,1,0,29,3488.4998081505223,10,6204.1273556458245,45,100,188,391,17274.952842755727,38874.45544918257,25000.46360632561,172.7495284275573,206.7790183467158,63.9398046197586,33.333333333333336,31.33333333333333,32.583333333333336,0.06,0.0638297872340425,0.0767263427109974,0.7555360762077619,0.5825637017928241,0.6518414094698546,1,1,8,4,4.3,4.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
34,0,3007,1,0,0,1,0,1,0,17,7790.747138221083,9,13744.70241051486,49,88,244,433,10966.97852443646,41632.80896764897,57639.77449429498,124.62475595950524,170.62626626085645,133.11726211153575,29.33333333333333,40.66666666666666,36.083333333333336,0.1022727272727272,0.0860655737704918,0.0762124711316397,0.7209934774580491,0.6021541147562331,0.6862448688783334,1,1,11,5,2.6,5.5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
51,0,3302,1,1,0,1,0,1,1,18,4709.041764377344,2,11261.405198632094,44,145,253,440,24482.42286180161,46744.608870577234,63861.60313183042,168.84429559863176,184.76129988370448,145.14000711779642,48.333333333333336,42.16666666666666,36.66666666666666,0.0689655172413793,0.0988142292490118,0.0568181818181818,0.6384334514214703,0.589481637604291,0.6693118204139855,1,1,8,8,6.3,3.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
39,0,4231,1,0,1,1,1,1,1,77,6824.928265902046,10,16140.76904893442,60,134,256,498,26795.65886204633,48191.67261887385,78262.69644729116,199.96760344810693,188.248721167476,157.15400893030355,44.66666666666666,42.66666666666666,41.5,0.1791044776119403,0.15234375,0.180722891566265,0.5791347481878072,0.6591893105523607,0.6779907148463472,1,1,11,5,3.1,3.8,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2
48,0,1526,1,1,1,1,1,0,0,0,4475.040865450367,6,8151.504461937856,39,82,227,413,5819.230957393764,15484.020464134364,35531.73000142558,70.96623118772882,68.21154389486504,86.03324455550988,27.33333333333333,37.833333333333336,34.416666666666664,0.048780487804878,0.1233480176211453,0.0944309927360774,0.6152129645192924,0.6887670509143152,0.6216644436945752,0,1,0,5,0.0,2.7,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
46,0,3613,1,0,1,1,0,1,1,8,6366.625597363429,2,15774.84669626573,47,122,231,452,25712.659656202,31505.66588478789,86598.51582211631,210.7595053787049,136.38816400341076,191.58963677459363,40.66666666666666,38.5,37.66666666666666,0.0901639344262295,0.1082251082251082,0.0973451327433628,0.6640296083812481,0.6662658967533729,0.7374628104790013,1,1,5,5,0.8,1.3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
52,0,9693,1,1,1,1,0,0,1,54,15221.975783889931,11,65291.4337918771,62,95,315,498,56046.54355300222,116771.98288733,290737.0496190769,589.9636163473918,370.70470757882543,583.8093365844917,31.666666666666668,52.5,41.5,0.0631578947368421,0.1206349206349206,0.1164658634538152,0.7411804187565196,0.7013388029802157,0.75907803010174,0,1,0,7,0.0,7.2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2
25,0,1380,1,1,1,1,0,1,0,20,1970.763237948997,1,2808.5004810695623,53,143,264,433,8669.912759269415,13464.972256230174,16893.50418586455,60.62876055433157,51.00368278875066,39.01502121446778,47.66666666666666,44.0,36.083333333333336,0.0629370629370629,0.0454545454545454,0.0438799076212471,0.6668633742776889,0.6743968301985301,0.7053344634315275,1,1,8,5,1.4,5.1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
52,0,3327,1,1,1,1,1,1,0,0,3921.606653953913,1,56864.28762140082,54,114,217,439,20208.213984693404,28943.27956047615,237641.17533627467,177.2650349534509,133.3791684814569,541.3238618138375,38.0,36.16666666666666,36.583333333333336,0.1052631578947368,0.1105990783410138,0.1002277904328018,0.6349419096223535,0.6689142824336402,0.6528101345380718,1,1,7,8,3.7,3.9,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
45,0,1377,1,0,1,1,0,1,0,31,2894.626675477305,5,2651.5836423038963,37,91,153,391,7640.718112424305,10356.338064231724,15751.997053835748,83.96393530136599,67.68848407994591,40.28643747784079,30.33333333333333,25.5,32.583333333333336,0.0659340659340659,0.0588235294117647,0.0409207161125319,0.6101409958391415,0.5599118869083215,0.5687146860007063,1,1,6,4,5.8,7.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
