engagement_id,customer_id,campaign_id,channel,sent,delivered,opened,clicked,engagement_date,engagement_time,conversion_status
27,667,1,Email,Yes,Yes,No,No,2022-04-26 09:42:26,09:42:26,No
28,1705,1,Email,Yes,Yes,No,No,2022-03-30 09:05:22,09:05:22,No
29,5884,1,Email,Yes,Yes,No,No,2022-03-22 11:03:00,11:03:00,No
30,899,1,Email,Yes,Yes,Yes,No,2022-04-09 19:42:31,19:42:31,Yes
31,5931,1,Email,Yes,Yes,No,No,2022-04-01 08:48:24,08:48:24,No
32,7005,1,Email,Yes,Yes,No,No,2022-04-15 15:38:34,15:38:34,Yes
33,217,1,Email,Yes,Yes,Yes,Yes,2022-04-13 12:12:47,12:12:47,No
34,9068,1,Email,Yes,Yes,No,Yes,2022-04-25 12:26:10,12:26:10,No
35,8793,1,Email,Yes,Yes,No,No,2022-04-25 14:00:38,14:00:38,No
36,8055,1,Email,Yes,Yes,No,No,2022-03-19 05:43:38,05:43:38,No
37,1940,1,Email,Yes,Yes,No,No,2022-03-23 11:26:42,11:26:42,No
38,492,1,Email,Yes,Yes,No,No,2022-03-25 14:49:54,14:49:54,No
39,9903,1,Email,Yes,Yes,No,No,2022-04-18 14:04:45,14:04:45,No
40,6735,1,Email,Yes,Yes,No,No,2022-04-21 11:53:21,11:53:21,No
41,5313,1,Email,Yes,Yes,No,No,2022-04-11 11:40:21,11:40:21,No
42,5978,1,Email,Yes,Yes,No,Yes,2022-04-06 13:26:32,13:26:32,Yes
43,1201,1,Email,Yes,Yes,No,No,2022-05-03 10:11:14,10:11:14,No
44,5478,1,Email,Yes,Yes,Yes,No,2022-04-10 17:25:31,17:25:31,No
45,8458,1,Email,Yes,Yes,No,No,2022-04-08 10:59:45,10:59:45,No
46,6694,1,Email,Yes,Yes,No,No,2022-04-08 12:20:19,12:20:19,No
47,9546,1,Email,Yes,Yes,No,No,2022-03-22 13:23:39,13:23:39,No
48,4715,1,Email,Yes,Yes,No,No,2022-04-11 12:43:50,12:43:50,Yes
49,7718,1,Email,Yes,Yes,No,No,2022-04-17 06:41:37,06:41:37,Yes
50,5335,1,Email,Yes,Yes,Yes,No,2022-04-13 12:14:25,12:14:25,No
51,4015,1,Email,Yes,Yes,No,No,2022-04-16 11:40:33,11:40:33,No
52,3202,1,Email,Yes,Yes,No,No,2022-04-04 07:56:25,07:56:25,No
53,8472,1,Email,Yes,Yes,Yes,No,2022-04-18 16:21:46,16:21:46,No
54,4866,1,Email,Yes,Yes,Yes,Yes,2022-04-20 16:17:24,16:17:24,Yes
55,1617,1,Email,Yes,Yes,No,No,2022-04-01 16:18:05,16:18:05,No
56,4157,1,Email,Yes,Yes,No,No,2022-05-03 05:18:53,05:18:53,No
57,2036,1,Email,Yes,Yes,No,No,2022-04-21 09:36:49,09:36:49,Yes
58,9855,1,Email,Yes,Yes,Yes,No,2022-04-11 15:51:54,15:51:54,No
59,8264,1,Email,Yes,Yes,No,No,2022-04-16 18:59:40,18:59:40,No
60,7210,1,Email,Yes,Yes,No,No,2022-04-23 13:40:38,13:40:38,No
61,3582,1,Email,Yes,Yes,No,No,2022-04-18 11:13:34,11:13:34,No
62,9613,1,Email,Yes,Yes,No,No,2022-03-17 13:50:52,13:50:52,No
63,1732,1,Email,Yes,Yes,Yes,No,2022-04-15 09:20:51,09:20:51,Yes
64,7491,1,Email,Yes,Yes,No,No,2022-04-18 14:45:29,14:45:29,Yes
65,8780,1,Email,Yes,Yes,No,No,2022-03-29 20:32:49,20:32:49,No
66,9824,1,Email,Yes,Yes,No,No,2022-04-20 14:17:41,14:17:41,No
67,6528,1,Email,Yes,Yes,No,Yes,2022-04-29 18:52:25,18:52:25,No
68,928,1,Email,Yes,Yes,No,No,2022-04-04 14:49:40,14:49:40,No
69,6919,1,Email,Yes,Yes,No,No,2022-03-31 12:41:28,12:41:28,No
70,6059,1,Email,Yes,Yes,No,No,2022-05-01 14:37:01,14:37:01,No
71,764,1,Email,Yes,Yes,No,No,2022-04-06 11:06:49,11:06:49,No
72,3418,1,Email,Yes,Yes,No,No,2022-03-27 14:37:07,14:37:07,No
73,97,1,Email,Yes,Yes,No,No,2022-04-14 08:05:54,08:05:54,No
74,3257,1,Email,Yes,Yes,No,No,2022-03-20 11:45:03,11:45:03,No
75,1556,1,Email,Yes,Yes,Yes,No,2022-04-25 16:12:04,16:12:04,No
76,1831,1,Email,Yes,Yes,No,No,2022-04-20 14:23:31,14:23:31,No
77,8679,1,Email,Yes,Yes,No,No,2022-03-27 08:07:04,08:07:04,No
78,8319,1,Email,Yes,Yes,No,No,2022-03-21 14:15:13,14:15:13,No
79,6304,1,Email,Yes,Yes,No,No,2022-03-19 11:55:16,11:55:16,Yes
80,3666,1,Email,Yes,Yes,No,No,2022-03-27 20:21:53,20:21:53,No
81,5294,1,Email,Yes,Yes,No,No,2022-03-21 12:52:29,12:52:29,No
82,3515,1,Email,Yes,Yes,No,No,2022-05-03 13:08:52,13:08:52,No
83,572,1,Email,Yes,Yes,No,No,2022-04-26 13:26:16,13:26:16,No
84,1974,1,Email,Yes,Yes,No,No,2022-03-23 17:31:50,17:31:50,No
85,3311,1,Email,Yes,Yes,No,No,2022-04-07 14:20:36,14:20:36,Yes
86,4879,1,Email,Yes,Yes,Yes,No,2022-04-11 16:08:14,16:08:14,No
87,6849,1,Email,Yes,Yes,Yes,No,2022-03-25 13:20:26,13:20:26,No
88,4552,1,Email,Yes,Yes,No,No,2022-04-05 08:44:50,08:44:50,No
89,8840,1,Email,Yes,Yes,No,No,2022-03-20 17:50:08,17:50:08,No
90,9629,1,Email,Yes,Yes,Yes,No,2022-04-04 08:02:06,08:02:06,No
91,7216,1,Email,Yes,Yes,No,Yes,2022-04-01 14:12:15,14:12:15,No
92,2796,1,Email,Yes,Yes,Yes,No,2022-04-05 11:16:04,11:16:04,Yes
93,3455,1,Email,Yes,Yes,No,No,2022-03-30 17:32:36,17:32:36,No
94,3534,1,Email,Yes,Yes,No,No,2022-04-20 08:38:22,08:38:22,Yes
95,9169,1,Email,Yes,Yes,No,No,2022-04-30 16:45:23,16:45:23,No
96,6342,1,Email,Yes,Yes,No,No,2022-04-16 12:16:30,12:16:30,No
97,704,1,Email,Yes,Yes,No,No,2022-03-18 13:50:00,13:50:00,No
98,9884,1,Email,Yes,Yes,No,No,2022-04-23 08:43:41,08:43:41,No
99,2543,1,Email,Yes,Yes,No,No,2022-04-08 14:10:29,14:10:29,No
100,4870,1,Email,Yes,Yes,No,No,2022-04-11 08:29:56,08:29:56,No
101,1562,1,Email,Yes,Yes,Yes,No,2022-04-23 10:09:54,10:09:54,No
102,5646,1,Email,Yes,Yes,No,No,2022-04-30 15:04:48,15:04:48,No
103,2015,1,Email,Yes,Yes,No,No,2022-03-21 18:51:45,18:51:45,No
104,724,1,Email,Yes,Yes,No,No,2022-04-20 09:50:40,09:50:40,No
105,829,1,Email,Yes,Yes,No,No,2022-04-25 13:06:45,13:06:45,No
106,2176,1,Email,Yes,Yes,No,No,2022-04-19 13:45:07,13:45:07,No
107,3470,1,Email,Yes,Yes,Yes,No,2022-03-30 11:46:12,11:46:12,No
108,5436,1,Email,Yes,Yes,Yes,No,2022-04-29 11:25:41,11:25:41,No
109,1555,1,Email,Yes,Yes,No,No,2022-04-05 13:18:34,13:18:34,No
110,1434,1,Email,Yes,No,Yes,No,2022-04-01 14:48:16,14:48:16,No
111,2517,1,Email,Yes,Yes,No,No,2022-04-22 12:17:25,12:17:25,Yes
112,4583,1,Email,Yes,Yes,No,No,2022-04-02 10:44:07,10:44:07,No
113,3389,1,Email,Yes,Yes,No,No,2022-04-05 12:06:15,12:06:15,No
114,5745,1,Email,Yes,Yes,No,No,2022-03-20 10:50:50,10:50:50,No
115,5956,1,Email,Yes,Yes,No,No,2022-04-17 09:03:06,09:03:06,No
116,7345,1,Email,Yes,Yes,No,No,2022-03-28 12:07:57,12:07:57,No
117,8032,1,Email,Yes,Yes,No,No,2022-04-12 12:42:03,12:42:03,No
118,728,1,Email,Yes,Yes,No,No,2022-04-21 06:35:01,06:35:01,No
119,5332,1,Email,Yes,Yes,Yes,Yes,2022-04-11 10:47:25,10:47:25,Yes
120,7728,1,Email,Yes,Yes,Yes,No,2022-04-26 11:51:30,11:51:30,No
121,4896,1,Email,Yes,Yes,Yes,No,2022-04-27 08:25:09,08:25:09,No
122,9726,1,Email,Yes,Yes,No,No,2022-04-05 09:40:16,09:40:16,No
123,5562,1,Email,Yes,Yes,No,No,2022-04-25 09:40:20,09:40:20,Yes
124,4335,1,Email,Yes,Yes,Yes,No,2022-04-03 14:04:48,14:04:48,No
125,6166,1,Email,Yes,Yes,Yes,No,2022-04-24 10:54:34,10:54:34,No
126,1804,1,Email,Yes,Yes,No,No,2022-04-19 12:55:23,12:55:23,No
127,4624,1,Email,Yes,Yes,No,No,2022-04-08 14:16:21,14:16:21,No
128,7511,1,Email,Yes,Yes,No,No,2022-04-17 11:28:27,11:28:27,No
129,3780,1,Email,Yes,Yes,No,No,2022-04-14 13:58:00,13:58:00,No
130,7830,1,Email,Yes,Yes,No,No,2022-03-30 14:51:53,14:51:53,No
131,8393,1,Email,Yes,Yes,No,No,2022-04-30 09:56:11,09:56:11,No
132,1573,1,Email,Yes,Yes,No,No,2022-03-18 15:30:28,15:30:28,No
133,6662,1,Email,Yes,Yes,No,No,2022-03-17 15:36:53,15:36:53,No
134,5840,1,Email,Yes,Yes,No,No,2022-04-07 11:55:42,11:55:42,Yes
135,3406,1,Email,Yes,Yes,No,No,2022-05-02 12:13:41,12:13:41,No
136,9522,1,Email,Yes,Yes,No,No,2022-03-23 11:42:00,11:42:00,No
137,8839,1,Email,Yes,Yes,No,Yes,2022-03-25 09:53:26,09:53:26,No
138,8490,1,Email,Yes,Yes,No,No,2022-03-30 16:36:40,16:36:40,No
139,1949,1,Email,Yes,Yes,No,No,2022-03-26 13:52:03,13:52:03,No
140,8037,1,Email,Yes,Yes,No,No,2022-04-22 12:06:28,12:06:28,No
141,9508,1,Email,Yes,Yes,No,No,2022-03-22 15:19:28,15:19:28,Yes
142,534,1,Email,Yes,Yes,No,No,2022-04-19 12:50:07,12:50:07,Yes
143,257,1,Email,Yes,Yes,No,No,2022-04-22 13:45:36,13:45:36,No
144,1867,1,Email,Yes,Yes,No,No,2022-03-24 13:45:33,13:45:33,No
145,2339,1,Email,Yes,Yes,No,No,2022-04-14 10:43:33,10:43:33,No
146,8716,1,Email,Yes,Yes,No,No,2022-04-24 08:24:50,08:24:50,No
147,8221,1,Email,Yes,Yes,Yes,No,2022-05-01 13:44:04,13:44:04,No
148,2815,1,Email,Yes,Yes,Yes,Yes,2022-04-04 09:50:06,09:50:06,No
149,2638,1,Email,Yes,Yes,No,No,2022-05-03 09:50:02,09:50:02,No
150,5302,1,Email,Yes,Yes,Yes,Yes,2022-05-01 14:08:54,14:08:54,No
151,2648,1,Email,Yes,Yes,No,No,2022-04-25 11:52:45,11:52:45,No
152,7767,1,Email,Yes,Yes,No,No,2022-03-19 15:13:00,15:13:00,No
153,2097,1,Email,Yes,Yes,No,No,2022-04-21 13:35:55,13:35:55,No
154,3826,1,Email,Yes,Yes,No,No,2022-03-29 14:23:18,14:23:18,Yes
155,4110,1,Email,Yes,Yes,Yes,Yes,2022-04-01 13:49:30,13:49:30,No
156,661,1,Email,Yes,Yes,No,No,2022-03-26 11:54:37,11:54:37,No
157,7044,1,Email,Yes,Yes,No,No,2022-03-20 11:30:25,11:30:25,No
158,3508,1,Email,Yes,Yes,No,No,2022-04-29 15:03:30,15:03:30,No
159,9598,1,Email,Yes,Yes,Yes,No,2022-03-17 14:49:25,14:49:25,No
160,5261,1,Email,Yes,Yes,No,No,2022-04-11 12:56:20,12:56:20,No
161,9774,1,Email,Yes,Yes,No,No,2022-04-16 13:53:43,13:53:43,No
162,8324,1,Email,Yes,Yes,No,No,2022-04-30 12:39:29,12:39:29,No
163,2152,1,Email,Yes,Yes,No,No,2022-04-15 19:05:29,19:05:29,No
164,936,1,Email,Yes,Yes,No,Yes,2022-05-02 12:32:46,12:32:46,Yes
165,7283,1,Email,Yes,Yes,Yes,No,2022-03-23 12:48:21,12:48:21,No
166,6188,1,Email,Yes,Yes,No,No,2022-04-03 12:42:33,12:42:33,No
167,4524,1,Email,Yes,Yes,No,No,2022-04-06 12:01:22,12:01:22,No
168,5606,1,Email,Yes,Yes,No,No,2022-03-25 14:06:05,14:06:05,Yes
169,4340,1,Email,Yes,Yes,Yes,No,2022-04-11 11:01:23,11:01:23,No
170,4801,1,Email,Yes,Yes,Yes,No,2022-04-21 12:25:40,12:25:40,No
171,2592,1,Email,Yes,Yes,No,Yes,2022-04-16 08:07:36,08:07:36,No
172,3064,1,Email,Yes,Yes,No,No,2022-04-02 16:25:47,16:25:47,No
173,538,1,Email,Yes,Yes,No,No,2022-04-10 08:52:14,08:52:14,No
174,6106,1,Email,Yes,Yes,No,No,2022-04-23 15:37:17,15:37:17,No
175,7007,1,Email,Yes,Yes,No,No,2022-03-19 11:10:15,11:10:15,No
176,8100,1,Email,Yes,Yes,No,No,2022-04-22 12:51:59,12:51:59,Yes
177,1321,1,Email,Yes,Yes,No,No,2022-03-29 11:29:23,11:29:23,No
178,406,1,Email,Yes,Yes,No,No,2022-04-12 12:32:44,12:32:44,No
179,4991,1,Email,Yes,Yes,Yes,No,2022-03-18 18:03:48,18:03:48,No
180,5597,1,Email,Yes,Yes,No,No,2022-03-24 12:20:21,12:20:21,No
181,5680,1,Email,Yes,Yes,No,No,2022-04-07 09:56:48,09:56:48,Yes
182,2096,1,Email,Yes,Yes,Yes,Yes,2022-03-19 13:22:41,13:22:41,Yes
183,6295,1,Email,Yes,Yes,No,No,2022-04-01 08:11:15,08:11:15,No
184,8577,1,Email,Yes,Yes,No,No,2022-03-23 17:49:10,17:49:10,No
185,5235,1,Email,Yes,Yes,No,No,2022-03-27 11:47:55,11:47:55,No
186,3790,1,Email,Yes,Yes,No,No,2022-04-14 11:43:04,11:43:04,No
187,2354,1,Email,Yes,Yes,No,No,2022-04-11 14:44:53,14:44:53,No
188,171,1,Email,Yes,Yes,No,No,2022-05-01 15:14:53,15:14:53,No
189,9853,1,Email,Yes,Yes,No,No,2022-03-31 10:08:35,10:08:35,No
190,9976,1,Email,Yes,No,Yes,No,2022-03-30 12:50:03,12:50:03,No
191,1740,1,Email,Yes,Yes,No,No,2022-04-07 13:39:29,13:39:29,No
192,5932,1,Email,Yes,Yes,No,No,2022-04-04 11:52:59,11:52:59,No
193,5508,1,Email,Yes,Yes,No,No,2022-04-23 05:04:20,05:04:20,No
194,1394,1,Email,Yes,Yes,Yes,No,2022-05-01 11:37:13,11:37:13,No
195,9121,1,Email,Yes,Yes,No,No,2022-04-02 13:11:05,13:11:05,No
196,4200,1,Email,Yes,Yes,Yes,No,2022-04-19 14:40:31,14:40:31,No
197,5935,1,Email,Yes,Yes,No,No,2022-03-20 11:22:19,11:22:19,No
198,74,1,Email,Yes,Yes,No,No,2022-04-14 10:16:38,10:16:38,No
199,1665,1,Email,Yes,Yes,No,No,2022-03-17 13:32:16,13:32:16,No
200,9372,1,Email,Yes,Yes,No,No,2022-03-30 16:31:58,16:31:58,No
201,1030,1,Email,Yes,Yes,No,No,2022-04-17 14:20:23,14:20:23,No
202,3666,1,Email,Yes,Yes,Yes,No,2022-03-21 16:36:13,16:36:13,No
203,8488,1,Email,Yes,Yes,No,No,2022-03-24 10:43:22,10:43:22,No
204,2653,1,Email,Yes,Yes,No,No,2022-03-21 14:06:43,14:06:43,No
205,3198,1,Email,Yes,Yes,No,No,2022-03-21 11:13:35,11:13:35,No
206,4383,1,Email,Yes,Yes,No,No,2022-04-01 13:33:54,13:33:54,No
207,2365,1,Email,Yes,Yes,Yes,No,2022-03-24 09:38:55,09:38:55,No
208,9869,1,Email,Yes,Yes,No,No,2022-04-05 09:11:49,09:11:49,No
209,8942,1,Email,Yes,Yes,No,No,2022-04-11 12:29:09,12:29:09,No
210,4467,1,Email,Yes,Yes,No,No,2022-04-29 15:44:05,15:44:05,No
211,1096,1,Email,Yes,Yes,No,No,2022-05-02 15:16:26,15:16:26,No
212,761,1,Email,Yes,Yes,No,No,2022-04-29 13:03:24,13:03:24,No
213,7736,1,Email,Yes,Yes,No,No,2022-04-09 15:29:37,15:29:37,No
214,9566,1,Email,Yes,Yes,No,No,2022-04-14 07:13:07,07:13:07,No
215,9408,1,Email,Yes,Yes,Yes,No,2022-05-01 13:00:40,13:00:40,No
216,2250,1,Email,Yes,Yes,No,No,2022-04-04 10:22:16,10:22:16,No
217,4272,1,Email,Yes,Yes,No,No,2022-05-01 12:19:40,12:19:40,Yes
218,5028,1,Email,Yes,Yes,No,No,2022-05-03 11:29:03,11:29:03,No
219,6080,1,Email,Yes,Yes,No,Yes,2022-04-14 12:56:47,12:56:47,No
220,4634,1,Email,Yes,No,No,No,2022-03-22 13:12:33,13:12:33,No
221,9221,1,Email,Yes,Yes,No,No,2022-04-15 11:21:39,11:21:39,Yes
222,3676,1,Email,Yes,Yes,No,No,2022-04-24 12:10:36,12:10:36,No
223,8287,1,Email,Yes,Yes,No,No,2022-04-26 08:01:46,08:01:46,No
224,8683,1,Email,Yes,Yes,Yes,No,2022-03-31 13:27:44,13:27:44,No
225,6217,1,Email,Yes,No,No,No,2022-04-26 11:59:23,11:59:23,No
226,7042,1,Email,Yes,Yes,No,No,2022-04-24 16:51:38,16:51:38,No
227,3334,1,Email,Yes,Yes,No,No,2022-04-16 12:45:03,12:45:03,No
228,4251,1,Email,Yes,Yes,No,No,2022-04-21 13:09:01,13:09:01,No
229,5046,1,Email,Yes,Yes,No,No,2022-03-29 09:59:16,09:59:16,No
230,1863,1,Email,Yes,Yes,No,No,2022-04-19 15:48:42,15:48:42,No
231,2210,1,Email,Yes,Yes,No,No,2022-04-04 13:20:55,13:20:55,No
232,41,1,Email,Yes,Yes,No,No,2022-04-08 07:35:18,07:35:18,No
233,3201,1,Email,Yes,Yes,No,No,2022-04-20 13:32:52,13:32:52,No
234,3478,1,Email,Yes,Yes,Yes,Yes,2022-04-22 11:24:04,11:24:04,No
235,1664,1,Email,Yes,Yes,No,No,2022-03-31 14:11:51,14:11:51,No
236,6595,1,Email,Yes,Yes,No,No,2022-04-24 07:26:56,07:26:56,No
237,9616,1,Email,Yes,Yes,Yes,No,2022-04-12 14:51:16,14:51:16,No
238,910,1,Email,Yes,Yes,Yes,No,2022-04-24 13:46:49,13:46:49,No
239,3632,1,Email,Yes,Yes,No,No,2022-04-06 14:09:35,14:09:35,No
240,253,1,Email,Yes,Yes,No,No,2022-04-26 13:34:49,13:34:49,No
241,5158,1,Email,Yes,Yes,No,No,2022-04-28 13:04:25,13:04:25,No
242,734,1,Email,Yes,Yes,No,No,2022-04-24 18:02:36,18:02:36,No
243,1669,1,Email,Yes,Yes,No,No,2022-04-17 14:42:55,14:42:55,No
244,4825,1,Email,Yes,Yes,Yes,No,2022-05-02 10:18:33,10:18:33,No
245,8304,1,Email,Yes,Yes,No,No,2022-03-27 17:39:50,17:39:50,Yes
246,1680,1,Email,Yes,Yes,Yes,No,2022-04-19 12:27:45,12:27:45,No
247,5771,1,Email,Yes,Yes,No,No,2022-04-22 13:07:11,13:07:11,No
248,1340,1,Email,Yes,Yes,No,No,2022-03-26 13:11:36,13:11:36,No
249,8049,1,Email,Yes,Yes,No,No,2022-04-29 17:27:48,17:27:48,Yes
250,425,1,Email,Yes,Yes,No,No,2022-03-28 09:54:48,09:54:48,No
251,4265,1,Email,Yes,Yes,No,No,2022-04-28 11:21:20,11:21:20,No
252,3762,1,Email,Yes,Yes,No,No,2022-04-08 12:32:27,12:32:27,No
253,876,1,Email,Yes,Yes,No,No,2022-04-18 18:49:30,18:49:30,No
254,4860,1,Email,Yes,Yes,Yes,No,2022-04-07 18:39:31,18:39:31,No
255,9356,1,Email,Yes,Yes,No,No,2022-04-29 15:57:00,15:57:00,No
256,4472,1,Email,Yes,Yes,No,No,2022-05-01 15:07:44,15:07:44,Yes
257,154,1,Email,Yes,Yes,Yes,No,2022-04-14 11:04:55,11:04:55,No
258,1650,1,Email,Yes,Yes,No,No,2022-03-26 16:18:08,16:18:08,No
259,3742,1,Email,Yes,Yes,No,No,2022-05-01 12:35:55,12:35:55,No
260,8067,1,Email,Yes,Yes,No,No,2022-05-02 14:12:30,14:12:30,No
261,9548,1,Email,Yes,Yes,No,No,2022-03-20 16:09:36,16:09:36,Yes
262,4827,1,Email,Yes,Yes,Yes,No,2022-04-17 09:20:37,09:20:37,No
263,3071,1,Email,Yes,Yes,No,No,2022-04-17 10:54:05,10:54:05,No
264,7024,1,Email,Yes,Yes,No,No,2022-04-14 02:49:23,02:49:23,No
265,7332,1,Email,Yes,Yes,No,No,2022-05-02 12:05:33,12:05:33,No
266,7950,1,Email,Yes,Yes,No,No,2022-05-02 09:45:06,09:45:06,No
267,579,1,Email,Yes,Yes,Yes,No,2022-03-30 15:10:02,15:10:02,No
268,7988,1,Email,Yes,Yes,No,No,2022-04-03 12:58:39,12:58:39,No
269,3548,1,Email,Yes,Yes,No,No,2022-03-18 11:28:52,11:28:52,No
270,6895,1,Email,Yes,Yes,No,No,2022-04-20 14:03:44,14:03:44,No
271,5378,1,Email,Yes,Yes,No,Yes,2022-03-20 05:26:53,05:26:53,Yes
272,8437,1,Email,Yes,Yes,No,No,2022-04-23 11:18:27,11:18:27,No
273,2060,1,Email,Yes,Yes,No,No,2022-03-25 14:30:04,14:30:04,No
274,4995,1,Email,Yes,No,No,No,2022-04-10 13:05:09,13:05:09,No
275,1271,1,Email,Yes,Yes,No,No,2022-03-21 14:45:49,14:45:49,No
276,5850,1,Email,Yes,Yes,No,No,2022-03-31 07:11:10,07:11:10,No
277,1940,1,Email,Yes,Yes,No,No,2022-04-08 12:50:37,12:50:37,No
278,8702,1,Email,Yes,Yes,No,No,2022-04-08 13:51:29,13:51:29,No
279,7466,1,Email,Yes,Yes,No,No,2022-04-10 13:39:40,13:39:40,No
280,7677,1,Email,Yes,Yes,Yes,No,2022-04-01 13:16:25,13:16:25,No
281,3979,1,Email,Yes,Yes,No,No,2022-04-22 14:53:06,14:53:06,No
282,2130,1,Email,Yes,Yes,No,No,2022-03-23 17:38:08,17:38:08,No
283,3308,1,Email,Yes,Yes,Yes,No,2022-03-24 11:22:04,11:22:04,No
284,2133,1,Email,Yes,Yes,Yes,Yes,2022-04-01 07:26:29,07:26:29,No
285,6142,1,Email,Yes,Yes,No,No,2022-04-11 07:46:29,07:46:29,No
286,1240,1,Email,Yes,Yes,No,No,2022-04-01 18:41:40,18:41:40,No
287,1037,1,Email,Yes,Yes,No,No,2022-04-25 10:04:46,10:04:46,No
288,4158,1,Email,Yes,Yes,No,No,2022-03-19 10:30:44,10:30:44,No
289,1254,1,Email,Yes,Yes,Yes,No,2022-03-27 19:11:14,19:11:14,No
290,7756,1,Email,Yes,Yes,Yes,No,2022-03-22 10:47:41,10:47:41,No
291,7142,1,Email,Yes,Yes,No,No,2022-04-20 14:19:38,14:19:38,No
292,1047,1,Email,Yes,Yes,Yes,No,2022-03-26 14:12:49,14:12:49,No
293,3716,1,Email,Yes,Yes,No,No,2022-05-01 15:47:22,15:47:22,No
294,5314,1,Email,Yes,Yes,Yes,No,2022-04-01 13:12:11,13:12:11,No
295,8057,1,Email,Yes,Yes,No,No,2022-04-01 12:35:39,12:35:39,No
296,7511,1,Email,Yes,Yes,No,No,2022-03-19 09:29:37,09:29:37,No
297,5206,1,Email,Yes,Yes,No,No,2022-04-06 11:37:45,11:37:45,No
298,8652,1,Email,Yes,Yes,No,No,2022-04-12 07:38:36,07:38:36,No
299,9689,1,Email,Yes,Yes,No,No,2022-04-12 10:49:50,10:49:50,Yes
300,2507,1,Email,Yes,Yes,No,No,2022-04-19 06:15:34,06:15:34,No
301,1475,1,Email,Yes,Yes,No,No,2022-04-03 15:17:42,15:17:42,No
302,1918,1,Email,Yes,Yes,No,No,2022-04-30 13:27:50,13:27:50,No
303,8315,1,Email,Yes,Yes,No,No,2022-04-24 08:46:54,08:46:54,Yes
304,4841,1,Email,Yes,Yes,Yes,No,2022-03-28 11:17:14,11:17:14,No
305,6004,1,Email,Yes,Yes,No,No,2022-04-18 15:59:36,15:59:36,No
306,3673,1,Email,Yes,Yes,No,No,2022-04-17 09:21:17,09:21:17,No
307,7836,1,Email,Yes,Yes,No,No,2022-04-13 10:53:29,10:53:29,No
308,5215,1,Email,Yes,Yes,Yes,Yes,2022-04-23 13:48:58,13:48:58,No
309,8629,1,Email,Yes,Yes,Yes,No,2022-03-23 12:06:16,12:06:16,No
310,3354,1,Email,Yes,Yes,No,No,2022-04-14 07:45:55,07:45:55,No
311,532,1,Email,Yes,Yes,Yes,No,2022-04-07 12:58:45,12:58:45,No
312,8562,1,Email,Yes,Yes,No,No,2022-04-24 10:52:38,10:52:38,No
313,3284,1,Email,Yes,Yes,No,No,2022-04-18 10:12:47,10:12:47,No
314,4215,1,Email,Yes,Yes,No,No,2022-04-17 15:39:40,15:39:40,No
315,2022,1,Email,Yes,Yes,No,No,2022-03-18 13:23:21,13:23:21,No
316,9305,1,Email,Yes,Yes,Yes,No,2022-04-22 12:50:50,12:50:50,No
317,5195,1,Email,Yes,Yes,No,No,2022-04-15 12:33:54,12:33:54,Yes
318,8993,1,Email,Yes,Yes,No,Yes,2022-04-21 10:11:11,10:11:11,No
