table_name,column_name,data_type,data_explaination,data_assumption\
transactions_summary,online_transaction_ratio_6m,FLOAT,Ratio of online transactions in the past 6 months, Similar to 3m metric with slight independent noise\
transactions_summary,total_transactions_12m,INTEGER,Total number of transactions in the past 12 months, Simulated using annual transaction rate via a Poisson process\
transactions_summary,total_transaction_amount_12m,FLOAT,Total spending amount in the past 12 months, Product of annual transactions and average amount with high noise\
transactions_summary,average_transaction_amount_12m,FLOAT,Average transaction amount over 12 months, Based on income with higher lognormal noise factor\
transactions_summary,transaction_frequency_12m,FLOAT,Average monthly transaction frequency for 12 months, Annual transactions divided by 12\
transactions_summary,high_value_transaction_rate_12m,FLOAT,Proportion of high-value transactions over 12 months, Calculated using binomial probability based on income thresholds\
transactions_summary,online_transaction_ratio_12m,FLOAT,Ratio of online transactions in the past 12 months, Derived from age and job characteristics with noise\
churn,churn_id,INTEGER,Unique identifier for each churn record, Sequentially generated based on merged DataFrame index\
churn,customer_id,INTEGER,Customer identifier linked to churn data, Same as in customers table\
churn,churn_status,STRING,Indicator if the customer is considered churned (Yes/No), Determined by days since last transaction and computed churn risk with override rules\
churn,churn_date,DATE,Date when the customer churned, Generated for churned customers based on a window between (last transaction date - X days) and a minimum threshold\
digital_usage,customer_id,INTEGER,Unique customer identifier linking to digital usage data, Same as in customers table\
digital_usage,has_mobile_app,STRING,Indicator if the customer uses a mobile banking app (Yes/No), Assigned based on age with high probability for younger customers\
digital_usage,has_web_account,STRING,Indicator if the customer has a web banking account (Yes/No), High probability (\uc0\u8776 85%) regardless of demographics\
digital_usage,mobile_logins_per_week,INTEGER,Average number of mobile app logins per week, Simulated using a normal distribution based on age and job type\
digital_usage,web_logins_per_week,INTEGER,Average number of web logins per week, Simulated using a normal distribution with base values depending on age\
digital_usage,avg_mobile_session_duration,FLOAT,Average duration (in minutes) of a mobile session, Calculated based on age and income with noise adjustment\
digital_usage,avg_web_session_duration,FLOAT,Average duration (in minutes) of a web session, Simulated with a base value adjusted for age and additional noise\
digital_usage,last_mobile_login,DATETIME,Timestamp of the most recent mobile login, Generated as a recent timestamp (within last 10 days) if active; adjusted if churned\
digital_usage,last_web_login,DATETIME,Timestamp of the most recent web login, Generated within a 30-day window if active; adjusted to occur before churn date if necessary\
campaigns,campaign_id,INTEGER,Unique campaign identifier, Sequentially generated from 1 to n_campaigns\
campaigns,customer_segment,STRING,Target customer segment for the campaign, Randomly selected from predefined segments\
campaigns,campaign_name,STRING,Name of the campaign, Constructed from the recommended product name and target segment\
campaigns,campaign_type,STRING,Type of campaign (e.g. Email; SMS; Mobile App Notifications; Direct Mail), Determined based on segment-specific mapping with adjustments\
campaigns,start_date,DATE,Campaign start date, Generated to fall between early January and mid-February 2024 (with simulated noise)\
campaigns,end_date,DATE,Campaign end date, Calculated as start_date plus a duration between 30 and 60 days\
campaigns,recommended_product_id,INTEGER,Identifier of the recommended banking product, Mapped based on target customer segment\
campaigns,recommended_product_name,STRING,Name of the recommended banking product, Derived from a predefined mapping of product IDs to names\
campaigns,campaign_budget,FLOAT,Allocated budget for the campaign in USD, Set based on target segment with defined ranges per segment\
campaigns,total_campaign_cost,FLOAT,Actual cost incurred for the campaign, Simulated with engagement adjustments and noise factors\
campaigns,total_revenue_generated,FLOAT,Revenue generated as a result of the campaign, Computed using cost multipliers and random revenue factors\
customer_engagement,engagement_id,INTEGER,Unique identifier for each engagement event, Sequentially generated from 1 upwards\
customer_engagement,customer_id,INTEGER,Identifier linking the engagement event to a customer, Same as in customers table\
customer_engagement,campaign_id,INTEGER,Identifier linking the engagement event to a campaign, Matches a campaign_id in the campaigns table\
customer_engagement,channel,STRING,Channel used for the engagement (e.g. Email; SMS; Mobile App Notifications; Direct Mail), Inferred from the campaign\'92s type\
customer_engagement,sent,STRING,Indicator if the message was sent (Yes/No), Generally always Yes as per simulation assumptions\
customer_engagement,delivered,STRING,Indicator if the message was delivered (Yes/No), High probability determined by channel-specific delivery rates\
customer_engagement,opened,STRING,Indicator if the message was opened (Yes/No), Based on simulated match status and channel-specific open rates\
customer_engagement,clicked,STRING,Indicator if the message was clicked (Yes/No), Simulated using probabilities dependent on engagement indicator\
customer_engagement,engagement_date,DATETIME,Date and time when the engagement occurred, Generated within campaign duration with seasonal adjustments\
customer_engagement,engagement_time,STRING,Time component of the engagement event, Extracted from engagement_date\
customer_engagement,conversion_status,STRING,Indicator if the engagement resulted in conversion (Yes/No), Calculated using a conversion probability model incorporating multiple multipliers\
}
