customer_id,age,job,marital,education,credit_default,customer_segment,region,income,created_at,credit_card,personal_loan,mortgage,savings_account,investment_product,auto_loan,wealth_management
21,53,services,single,tertiary,no,High-Value,Urban,2463,2025-02-04 00:48:43.768905,yes,yes,no,yes,yes,yes,no
22,35,admin,married,secondary,no,High-Value,Urban,4242,2024-09-18 09:26:50.490381,yes,yes,yes,yes,no,yes,yes
23,39,technician,married,tertiary,no,High-Value,Urban,3759,2020-05-11 22:19:32.917435,yes,no,yes,yes,no,yes,no
24,28,blue-collar,single,tertiary,no,Young Professionals,Urban,2998,2022-01-12 18:45:01.186704,yes,no,no,yes,yes,no,yes
25,43,blue-collar,single,primary,no,Middle-Market,Urban,3769,2020-03-06 16:34:46.276485,yes,no,no,yes,no,yes,no
26,28,self-employed,single,tertiary,no,Budget-Conscious,Urban,5367,2025-01-04 10:37:23.312524,yes,yes,yes,yes,yes,yes,yes
27,32,technician,divorced,tertiary,no,Middle-Market,Suburban,3500,2021-02-17 09:01:05.602251,yes,yes,yes,yes,yes,no,no
28,47,blue-collar,married,secondary,no,Middle-Market,Urban,2511,2020-05-06 16:39:07.723847,no,yes,yes,no,yes,yes,no
29,75,retired,divorced,secondary,no,Retired,Urban,2356,2024-12-25 15:12:00.770099,yes,no,no,yes,no,no,no
30,34,admin,married,secondary,no,Budget-Conscious,Suburban,4620,2020-07-31 18:15:29.798516,yes,no,yes,yes,no,yes,yes
31,45,services,single,secondary,no,Middle-Market,Suburban,1755,2023-04-30 16:13:59.074368,yes,no,yes,yes,no,yes,yes
32,52,technician,single,tertiary,no,Middle-Market,Rural,4168,2020-03-19 23:23:57.405976,no,yes,no,yes,yes,yes,no
33,61,admin,divorced,secondary,no,Budget-Conscious,Urban,4550,2024-11-14 02:44:10.189073,yes,no,no,yes,no,no,no
34,58,unemployed,married,secondary,no,High-Value,Urban,713,2023-06-28 02:17:37.752852,yes,yes,yes,no,no,yes,no
35,21,student,single,secondary,no,Budget-Conscious,Urban,140,2021-12-23 02:27:56.425728,yes,yes,yes,yes,no,no,no
36,17,management,single,tertiary,no,High-Value,Urban,8307,2023-09-21 00:41:19.153239,yes,yes,no,yes,yes,no,yes
37,45,entrepreneur,married,secondary,no,High-Value,Urban,6284,2020-05-11 23:10:03.277850,no,yes,yes,no,yes,no,yes
38,42,admin,divorced,primary,no,Middle-Market,Suburban,3539,2024-06-18 02:06:40.652050,yes,yes,no,yes,no,yes,no
39,58,services,married,tertiary,no,High-Value,Urban,3009,2023-12-17 04:14:40.245774,yes,no,yes,yes,no,yes,no
40,63,blue-collar,divorced,primary,no,Retired,Urban,1150,2023-11-17 11:25:37.932489,yes,yes,yes,yes,no,no,no
41,50,admin,married,tertiary,no,Budget-Conscious,Rural,3875,2023-03-07 16:38:02.040023,yes,no,no,yes,no,yes,no
42,47,blue-collar,married,secondary,no,Middle-Market,Suburban,2300,2020-06-03 02:59:48.669599,yes,yes,no,yes,no,yes,no
43,43,admin,married,tertiary,no,Middle-Market,Suburban,3007,2024-09-17 10:59:54.929173,yes,no,yes,yes,no,no,no
44,61,unemployed,single,secondary,no,Budget-Conscious,Suburban,532,2020-12-27 10:31:43.580943,yes,no,yes,yes,yes,no,no
45,41,technician,married,tertiary,no,Middle-Market,Rural,3695,2020-05-29 22:55:13.730234,yes,yes,yes,yes,yes,yes,no
46,30,services,married,secondary,no,Middle-Market,Urban,2507,2020-06-06 10:13:02.134154,yes,yes,no,yes,no,yes,no
47,66,entrepreneur,divorced,tertiary,no,Retired,Urban,6643,2022-02-10 23:47:54.638145,no,no,yes,yes,no,yes,yes
48,43,blue-collar,divorced,secondary,no,Middle-Market,Suburban,2465,2021-02-05 04:33:34.792206,yes,yes,yes,yes,no,yes,no
49,37,blue-collar,married,secondary,no,Middle-Market,Urban,1304,2023-03-02 00:10:48.972103,no,yes,yes,yes,no,yes,no
50,53,technician,single,tertiary,no,Middle-Market,Suburban,3814,2021-08-05 21:47:45.878602,yes,yes,yes,yes,no,yes,no
51,18,student,single,secondary,yes,Young Professionals,Urban,867,2021-03-23 14:10:01.384300,no,no,yes,yes,no,no,no
52,59,self-employed,divorced,secondary,no,Budget-Conscious,Suburban,3450,2021-11-07 15:03:09.610219,yes,no,no,yes,no,no,no
53,33,unemployed,single,secondary,no,Middle-Market,Urban,816,2020-03-29 23:23:17.734051,yes,no,yes,yes,no,yes,no
54,32,management,married,tertiary,no,High-Value,Urban,6651,2021-11-04 20:42:11.191638,yes,yes,yes,no,yes,no,no
55,67,retired,married,tertiary,no,Retired,Suburban,2209,2020-07-15 22:10:53.855371,no,yes,yes,yes,no,no,no
56,53,unemployed,married,secondary,no,High-Value,Urban,323,2021-03-04 02:35:16.410527,yes,yes,yes,no,yes,no,no
57,42,admin,married,secondary,no,Budget-Conscious,Urban,3392,2023-01-18 10:36:07.185380,yes,no,yes,yes,yes,yes,no
58,34,technician,single,secondary,no,Middle-Market,Urban,3007,2025-02-27 09:47:11.637096,yes,no,no,yes,no,yes,no
59,51,admin,married,secondary,no,Middle-Market,Urban,3302,2021-03-24 11:45:55.757395,yes,yes,no,yes,no,yes,yes
60,39,entrepreneur,married,tertiary,no,Middle-Market,Urban,4231,2020-03-14 11:15:40.024307,yes,no,yes,yes,yes,yes,yes
61,48,blue-collar,married,secondary,no,Middle-Market,Suburban,1526,2021-10-11 22:51:56.711736,yes,yes,yes,yes,yes,no,no
62,46,technician,married,tertiary,no,Budget-Conscious,Urban,3613,2024-04-06 04:14:31.157570,yes,no,yes,yes,no,yes,yes
63,52,management,married,tertiary,no,High-Value,Urban,9693,2023-09-03 14:07:34.114859,yes,yes,yes,yes,no,no,yes
64,25,blue-collar,single,secondary,no,Budget-Conscious,Urban,1380,2021-04-02 16:38:23.541866,yes,yes,yes,yes,no,yes,no
65,52,technician,married,tertiary,no,Budget-Conscious,Suburban,3327,2021-02-05 00:53:16.464475,yes,yes,yes,yes,yes,yes,no
66,45,blue-collar,divorced,secondary,no,High-Value,Urban,1377,2020-05-31 14:31:07.132674,yes,no,yes,yes,no,yes,no
67,25,admin,single,secondary,no,Young Professionals,Urban,4762,2020-11-27 03:08:00.668495,yes,no,yes,yes,no,yes,no
68,42,management,single,tertiary,no,Budget-Conscious,Urban,6436,2022-09-12 00:25:10.872764,yes,yes,no,yes,yes,no,no
69,21,admin,single,tertiary,no,Young Professionals,Urban,3170,2020-03-18 17:30:11.493250,yes,yes,yes,yes,no,yes,no
70,18,student,married,tertiary,no,Young Professionals,Urban,1199,2022-09-24 06:27:10.814286,no,yes,yes,yes,yes,no,no
71,39,self-employed,married,secondary,no,Middle-Market,Suburban,4535,2020-03-10 13:05:47.953613,no,no,yes,yes,no,no,no
72,37,technician,married,tertiary,no,High-Value,Suburban,2834,2023-09-25 14:25:47.636775,yes,no,no,yes,yes,yes,no
73,40,admin,married,secondary,no,Budget-Conscious,Urban,3541,2023-06-13 09:24:03.907303,yes,yes,yes,yes,yes,yes,no
74,48,management,married,primary,no,High-Value,Urban,8720,2022-04-02 18:18:35.741918,yes,yes,yes,yes,no,yes,no
75,49,services,married,tertiary,no,High-Value,Urban,2239,2024-05-27 00:11:01.228464,yes,no,no,yes,no,no,yes
76,49,services,married,secondary,no,Middle-Market,Urban,2889,2022-12-30 23:31:32.710695,yes,no,no,no,no,yes,no
77,41,self-employed,married,secondary,no,High-Value,Urban,3375,2020-07-04 21:26:57.642937,yes,yes,yes,no,yes,yes,no
78,37,admin,married,primary,no,High-Value,Urban,4179,2020-03-07 10:16:45.210400,yes,yes,yes,no,no,yes,yes
79,58,blue-collar,married,primary,no,Middle-Market,Urban,3555,2020-03-14 19:27:46.184024,no,no,yes,yes,no,yes,yes
80,47,admin,married,primary,no,Budget-Conscious,Suburban,4831,2022-11-04 23:49:53.857829,yes,yes,yes,yes,no,yes,no
81,56,management,married,primary,no,Middle-Market,Urban,5181,2021-04-02 04:52:01.161969,yes,no,yes,yes,yes,yes,yes
82,42,services,divorced,secondary,no,Middle-Market,Suburban,3092,2022-05-08 04:22:15.703402,no,no,no,yes,no,no,no
83,50,entrepreneur,married,tertiary,no,High-Value,Urban,8223,2020-09-25 11:43:40.685851,yes,no,yes,yes,yes,yes,no
84,27,admin,married,secondary,no,Young Professionals,Suburban,4819,2021-01-26 17:22:47.909505,yes,no,yes,yes,no,yes,yes
85,40,entrepreneur,married,tertiary,no,High-Value,Suburban,4174,2022-06-30 08:45:54.576124,yes,yes,yes,yes,no,no,no
86,74,entrepreneur,divorced,tertiary,no,Retired,Urban,5146,2020-04-30 22:47:16.814428,no,no,no,yes,yes,yes,no
87,53,services,married,primary,no,Middle-Market,Urban,1388,2020-03-18 00:52:12.960053,no,yes,no,yes,yes,no,no
88,27,services,single,secondary,no,Young Professionals,Urban,1677,2023-05-10 08:07:18.250792,yes,yes,no,yes,no,yes,no
89,53,management,divorced,secondary,yes,Middle-Market,Suburban,8845,2024-08-21 07:25:58.772568,yes,yes,no,yes,yes,yes,no
90,34,blue-collar,single,secondary,no,Budget-Conscious,Urban,1105,2021-06-14 07:04:37.191236,yes,yes,no,yes,no,yes,no
91,55,admin,married,secondary,no,Budget-Conscious,Urban,3844,2020-03-25 05:57:24.392305,yes,yes,yes,yes,no,yes,no
92,51,services,married,primary,no,Budget-Conscious,Urban,2985,2021-04-02 06:51:47.845610,yes,yes,no,no,no,yes,no
93,49,self-employed,divorced,secondary,no,Budget-Conscious,Urban,5645,2021-09-11 17:13:03.786066,yes,yes,no,yes,yes,yes,no
94,77,retired,married,tertiary,no,Budget-Conscious,Suburban,1548,2020-05-28 04:57:55.672772,no,yes,no,yes,yes,yes,no
95,54,self-employed,married,tertiary,yes,Budget-Conscious,Urban,3280,2024-12-20 01:33:26.646550,no,yes,yes,yes,yes,yes,no
96,32,blue-collar,married,secondary,no,Budget-Conscious,Suburban,2235,2025-01-27 17:43:09.919715,yes,yes,yes,yes,yes,yes,no
97,35,blue-collar,married,primary,no,Middle-Market,Suburban,2591,2021-11-13 08:44:46.178914,yes,yes,yes,yes,no,yes,no
98,30,blue-collar,married,secondary,no,Middle-Market,Urban,3364,2021-07-05 05:11:46.402376,yes,yes,yes,yes,no,yes,no
99,18,admin,single,secondary,no,Young Professionals,Urban,3292,2020-03-16 22:59:20.301196,yes,no,no,yes,no,no,no
100,51,admin,married,secondary,no,Middle-Market,Suburban,4543,2022-05-26 06:09:52.718999,yes,yes,no,yes,no,yes,no
101,41,admin,married,primary,no,Budget-Conscious,Suburban,3111,2022-03-20 03:26:17.486349,yes,yes,yes,yes,no,yes,no
102,57,services,married,secondary,no,Middle-Market,Rural,3481,2021-07-15 23:41:17.009970,no,no,yes,yes,no,no,no
103,47,entrepreneur,married,secondary,no,Middle-Market,Suburban,3464,2023-02-03 21:30:19.195608,yes,yes,yes,yes,yes,yes,no
104,47,blue-collar,married,secondary,no,Middle-Market,Suburban,2733,2023-01-19 11:20:30.561418,yes,no,yes,yes,no,yes,no
105,32,unemployed,married,secondary,no,High-Value,Urban,74,2020-06-28 07:42:10.154840,no,yes,yes,yes,yes,no,no
106,34,technician,married,tertiary,no,Middle-Market,Suburban,4152,2022-01-20 11:14:59.678327,yes,no,yes,yes,no,yes,no
107,36,blue-collar,married,primary,no,Budget-Conscious,Suburban,1691,2020-06-26 09:21:01.190259,yes,yes,no,yes,no,yes,no
108,51,self-employed,married,secondary,no,Budget-Conscious,Urban,4781,2022-01-20 12:36:29.892471,yes,yes,no,no,no,yes,no
109,36,technician,married,tertiary,no,Budget-Conscious,Rural,3112,2023-07-27 04:21:36.003557,yes,no,yes,yes,yes,yes,no
110,67,admin,married,primary,no,Retired,Urban,4587,2020-08-07 16:02:49.887387,yes,yes,no,yes,no,yes,no
111,26,technician,married,tertiary,no,Young Professionals,Rural,3074,2024-01-31 01:01:12.673163,yes,no,no,yes,no,no,yes
112,46,technician,divorced,tertiary,no,Budget-Conscious,Urban,3557,2024-10-31 23:14:32.208082,yes,yes,no,yes,no,no,yes
113,61,unemployed,divorced,primary,no,Budget-Conscious,Suburban,648,2024-02-10 10:54:54.386077,no,yes,no,no,no,yes,no
114,34,management,married,tertiary,no,High-Value,Urban,8647,2024-08-02 10:45:50.515386,yes,yes,no,yes,yes,no,yes
115,20,services,single,primary,no,Budget-Conscious,Suburban,2864,2020-03-07 10:47:17.470521,yes,no,yes,yes,no,yes,no
116,35,management,married,tertiary,no,Middle-Market,Rural,8480,2022-09-08 01:40:32.883094,yes,no,yes,no,yes,yes,no
117,52,management,single,tertiary,no,Middle-Market,Suburban,5391,2020-05-13 07:00:15.437734,yes,no,yes,yes,no,yes,no
118,42,technician,married,secondary,no,Budget-Conscious,Suburban,2854,2020-03-28 18:41:56.621282,yes,no,yes,yes,no,no,no
119,24,management,married,secondary,no,Young Professionals,Urban,6817,2021-11-23 23:20:03.107090,yes,no,no,yes,no,no,no
120,67,blue-collar,married,primary,no,Retired,Rural,3652,2020-07-19 14:18:59.793742,no,no,no,no,no,no,no
121,43,management,married,primary,no,Middle-Market,Suburban,9601,2020-03-06 06:19:32.423781,yes,no,yes,yes,yes,yes,no
122,66,management,single,primary,no,Retired,Suburban,5106,2020-05-05 10:15:12.209033,yes,no,no,yes,yes,yes,yes
123,32,entrepreneur,married,tertiary,no,High-Value,Urban,2325,2024-05-11 04:31:31.366295,yes,yes,no,yes,yes,yes,yes
124,38,admin,married,tertiary,no,Budget-Conscious,Urban,4933,2023-12-10 13:02:04.023994,yes,no,yes,yes,no,yes,no
125,42,technician,married,tertiary,no,High-Value,Urban,3529,2023-10-31 19:53:36.412324,yes,yes,yes,yes,no,yes,no
126,29,blue-collar,married,tertiary,no,Budget-Conscious,Suburban,3748,2020-05-23 04:56:24.864282,yes,yes,no,yes,yes,yes,no
127,55,management,single,tertiary,no,Middle-Market,Urban,5098,2022-12-18 09:35:35.011224,yes,no,yes,yes,no,yes,yes
128,33,management,married,tertiary,no,Middle-Market,Rural,6753,2024-01-14 22:16:06.080667,yes,no,no,yes,no,yes,yes
129,35,admin,married,primary,no,Middle-Market,Suburban,3440,2020-03-29 22:17:29.079616,yes,no,yes,yes,yes,yes,no
130,57,blue-collar,married,secondary,no,Middle-Market,Suburban,2977,2020-08-28 01:26:31.857352,yes,yes,no,yes,no,yes,no
131,39,blue-collar,single,primary,yes,Budget-Conscious,Suburban,2910,2020-03-07 13:07:32.946140,yes,no,no,yes,no,yes,no
132,31,technician,married,secondary,no,Middle-Market,Suburban,3341,2020-04-29 18:50:33.663939,yes,no,yes,yes,no,yes,no
133,36,admin,married,secondary,no,High-Value,Urban,4804,2022-10-24 07:58:07.790726,yes,no,yes,no,no,no,no
134,47,entrepreneur,single,secondary,no,Middle-Market,Urban,2857,2020-11-21 15:49:39.947157,yes,yes,no,yes,yes,yes,no
135,58,unemployed,married,secondary,no,Middle-Market,Urban,507,2021-03-03 01:31:32.542819,no,yes,yes,no,yes,yes,no
136,48,entrepreneur,married,tertiary,no,Middle-Market,Urban,7213,2022-05-13 09:39:44.290848,yes,no,yes,yes,yes,yes,yes
137,46,blue-collar,married,secondary,no,Budget-Conscious,Urban,3623,2024-07-28 18:42:32.072889,yes,yes,yes,yes,no,yes,no
138,50,services,married,secondary,no,Middle-Market,Urban,1331,2021-09-14 15:22:55.354667,yes,yes,yes,yes,no,yes,no
139,60,blue-collar,married,tertiary,no,Middle-Market,Suburban,1357,2022-01-18 19:04:03.088339,yes,yes,yes,yes,no,no,no
140,23,student,single,tertiary,no,Young Professionals,Urban,702,2020-03-10 15:05:50.594263,yes,yes,no,yes,no,yes,yes
141,23,student,single,tertiary,yes,Budget-Conscious,Urban,942,2023-12-28 19:19:27.435655,no,yes,yes,yes,no,no,no
142,60,technician,single,secondary,no,Middle-Market,Urban,3699,2022-06-14 09:19:32.294002,yes,no,no,yes,no,no,yes
143,20,blue-collar,single,primary,no,Young Professionals,Urban,1842,2020-08-02 12:12:36.871432,yes,yes,no,yes,no,no,no
144,56,entrepreneur,married,tertiary,no,Budget-Conscious,Urban,8218,2023-01-12 08:42:31.182717,yes,no,yes,yes,no,yes,no
145,53,technician,married,tertiary,no,Middle-Market,Urban,3313,2021-06-24 14:07:25.908177,no,yes,yes,yes,yes,no,no
146,34,admin,married,secondary,no,High-Value,Urban,4789,2020-07-23 14:09:47.227175,yes,yes,yes,yes,no,yes,yes
147,33,services,married,primary,no,High-Value,Urban,2419,2020-09-30 06:54:11.577292,yes,yes,yes,yes,no,yes,no
148,52,blue-collar,married,primary,no,High-Value,Urban,1564,2024-11-02 07:50:32.072026,yes,no,no,yes,no,yes,yes
149,45,admin,married,secondary,no,High-Value,Urban,4430,2020-04-11 18:26:29.439956,yes,yes,yes,yes,no,yes,no
150,61,technician,divorced,tertiary,no,Retired,Urban,2926,2023-12-15 06:49:44.462021,yes,yes,yes,yes,no,yes,no
151,30,unemployed,married,primary,yes,Middle-Market,Urban,693,2021-01-10 21:02:10.134325,yes,yes,no,yes,no,yes,no
152,68,technician,divorced,tertiary,no,Budget-Conscious,Suburban,2672,2021-03-11 18:34:56.108931,no,no,yes,yes,no,yes,no
153,46,admin,married,secondary,no,High-Value,Urban,3234,2024-03-04 00:12:58.039553,yes,yes,yes,no,yes,yes,yes
154,30,blue-collar,married,secondary,no,Budget-Conscious,Urban,1615,2024-05-18 20:51:00.450935,yes,yes,no,yes,no,yes,yes
155,24,student,single,secondary,yes,Young Professionals,Urban,717,2023-09-05 10:11:56.089123,yes,yes,no,yes,no,no,yes
156,28,technician,divorced,tertiary,no,Budget-Conscious,Rural,3264,2022-10-19 21:28:59.121721,yes,yes,no,yes,no,yes,yes
157,62,services,married,secondary,no,Budget-Conscious,Suburban,3398,2024-02-13 07:53:09.727651,yes,no,no,yes,no,yes,no
158,49,self-employed,single,secondary,no,Middle-Market,Suburban,4938,2020-04-13 22:26:25.426786,yes,no,yes,yes,no,yes,no
159,64,technician,married,tertiary,no,Retired,Rural,4127,2020-05-28 19:56:38.719692,yes,no,yes,yes,yes,yes,no
160,41,services,married,tertiary,no,High-Value,Urban,2423,2020-08-19 21:22:24.880018,yes,yes,yes,yes,yes,yes,yes
161,40,blue-collar,married,primary,no,Budget-Conscious,Urban,1977,2022-08-29 06:39:18.629901,yes,no,yes,yes,no,no,no
162,42,services,single,secondary,no,Middle-Market,Suburban,2316,2022-06-12 03:09:55.754271,no,no,yes,yes,yes,yes,no
163,18,services,single,secondary,no,Young Professionals,Suburban,1999,2023-04-26 10:35:57.854279,no,yes,yes,yes,no,no,no
164,41,blue-collar,married,secondary,no,Budget-Conscious,Urban,3102,2022-02-24 20:37:53.777100,yes,yes,no,yes,no,yes,no
165,40,admin,single,secondary,no,Middle-Market,Suburban,3280,2023-10-19 05:21:27.883666,no,yes,yes,yes,no,yes,no
166,47,management,single,tertiary,no,Middle-Market,Urban,6696,2021-03-18 12:48:47.500347,yes,yes,no,yes,no,no,yes
167,67,entrepreneur,married,tertiary,no,Retired,Urban,2068,2020-03-15 08:35:04.302903,yes,yes,yes,yes,no,yes,no
168,48,technician,divorced,tertiary,no,Budget-Conscious,Urban,3699,2020-03-06 13:16:29.430446,yes,yes,no,yes,no,yes,no
169,58,admin,single,tertiary,no,High-Value,Suburban,4823,2021-11-24 13:16:16.048743,yes,no,no,yes,yes,no,no
170,89,retired,married,secondary,no,Retired,Suburban,2966,2023-01-25 04:07:49.797719,yes,no,no,yes,yes,yes,no
171,41,services,married,secondary,no,Middle-Market,Rural,1714,2020-03-07 11:35:47.424684,yes,yes,no,yes,yes,yes,no
172,95,admin,married,secondary,no,Budget-Conscious,Urban,3577,2020-08-03 11:04:54.298644,yes,yes,yes,yes,no,yes,no
173,50,blue-collar,divorced,primary,no,Middle-Market,Rural,3644,2024-02-08 15:02:35.292277,no,yes,no,yes,no,no,yes
174,40,technician,single,tertiary,no,Budget-Conscious,Urban,4259,2022-07-26 09:50:08.932891,yes,yes,no,yes,no,no,no
175,48,services,married,secondary,no,Middle-Market,Suburban,2591,2024-03-30 05:04:52.774405,no,yes,no,yes,yes,yes,no
176,67,technician,married,secondary,no,Retired,Urban,2897,2021-07-02 15:29:25.373801,yes,yes,no,yes,no,no,no
177,41,services,married,secondary,no,Middle-Market,Urban,2232,2023-01-26 00:29:22.045993,yes,yes,no,yes,yes,yes,no
178,43,blue-collar,married,secondary,no,Budget-Conscious,Rural,2237,2021-07-15 14:59:03.163028,yes,yes,no,yes,yes,yes,no
179,47,unemployed,married,secondary,no,High-Value,Urban,-970,2020-08-08 22:42:37.496545,yes,yes,yes,yes,yes,yes,no
180,26,admin,single,secondary,no,Young Professionals,Urban,4168,2021-06-28 20:51:22.889296,yes,no,no,yes,no,yes,no
181,37,entrepreneur,married,tertiary,no,Budget-Conscious,Urban,6524,2025-01-06 14:57:46.876219,yes,no,yes,yes,no,yes,yes
182,58,admin,married,tertiary,no,Budget-Conscious,Urban,3786,2020-10-09 10:36:44.698911,yes,yes,yes,yes,no,yes,no
183,32,unemployed,married,primary,no,Middle-Market,Rural,623,2022-03-13 17:58:12.305719,no,yes,yes,yes,no,yes,no
184,22,management,divorced,secondary,no,Budget-Conscious,Urban,6390,2023-05-18 08:14:02.875970,yes,no,yes,yes,yes,no,yes
185,35,technician,married,secondary,no,Budget-Conscious,Rural,4138,2020-10-19 06:28:04.124078,no,no,no,no,no,yes,no
186,36,services,married,primary,no,High-Value,Urban,3498,2020-08-26 19:43:48.309897,yes,yes,yes,yes,no,yes,yes
187,63,management,divorced,secondary,no,Retired,Urban,7699,2021-03-04 20:33:09.091328,yes,no,no,yes,no,yes,yes
188,75,retired,divorced,tertiary,no,Budget-Conscious,Urban,1515,2020-10-27 00:15:49.958015,no,yes,no,yes,no,no,no
189,42,blue-collar,married,primary,no,Budget-Conscious,Urban,3855,2022-06-17 02:59:24.356667,yes,yes,yes,yes,yes,no,no
190,32,technician,married,primary,no,Middle-Market,Suburban,2857,2020-03-16 01:20:34.509546,yes,yes,yes,yes,no,yes,no
191,63,admin,married,secondary,no,Retired,Urban,4980,2021-06-21 18:39:44.076864,yes,no,yes,yes,no,yes,yes
192,66,management,married,secondary,no,Budget-Conscious,Urban,6272,2025-02-26 08:18:41.678630,yes,no,yes,yes,no,yes,no
193,32,unemployed,married,secondary,no,Middle-Market,Urban,908,2024-02-13 21:23:01.768109,yes,yes,no,yes,no,yes,no
194,39,services,single,primary,no,Middle-Market,Rural,1605,2021-10-11 09:46:10.771292,yes,no,no,yes,no,no,no
195,60,entrepreneur,married,secondary,no,Middle-Market,Urban,7653,2024-06-12 23:38:01.135233,no,no,yes,yes,yes,yes,no
196,49,entrepreneur,single,tertiary,no,Middle-Market,Urban,8774,2020-10-21 18:39:37.640626,yes,no,no,yes,yes,yes,no
197,50,services,married,tertiary,no,Middle-Market,Urban,2399,2020-07-25 00:49:37.149759,yes,yes,no,yes,no,no,no
198,49,management,married,secondary,no,High-Value,Urban,5470,2025-02-08 17:18:57.373755,yes,yes,yes,yes,yes,yes,yes
199,39,management,married,tertiary,no,Budget-Conscious,Suburban,9493,2021-04-09 21:24:39.866995,yes,no,yes,no,no,yes,yes
200,44,self-employed,married,secondary,no,Budget-Conscious,Urban,5624,2022-04-09 05:19:12.172687,yes,yes,yes,yes,yes,yes,no
201,65,services,married,secondary,no,Retired,Urban,3277,2021-07-19 04:24:21.633473,yes,yes,no,yes,no,yes,yes
202,49,admin,married,secondary,no,Middle-Market,Urban,4611,2021-01-02 18:36:52.578272,yes,no,yes,yes,no,yes,yes
203,32,technician,divorced,tertiary,no,Budget-Conscious,Suburban,3735,2024-02-27 21:11:40.766873,no,yes,no,yes,no,yes,no
204,31,management,married,secondary,no,Middle-Market,Urban,8645,2022-01-15 02:52:38.113061,yes,no,yes,no,yes,yes,yes
205,61,services,divorced,primary,no,Budget-Conscious,Urban,1695,2022-01-25 14:18:09.128416,yes,yes,no,no,no,no,no
206,34,admin,married,tertiary,no,Middle-Market,Suburban,4970,2020-03-16 05:24:07.803767,yes,yes,yes,yes,yes,yes,no
207,51,admin,married,secondary,yes,High-Value,Urban,4817,2023-02-08 04:17:31.332821,yes,no,yes,yes,no,no,no
208,18,services,single,secondary,no,Budget-Conscious,Urban,3135,2024-02-09 23:20:04.457082,yes,yes,yes,yes,no,yes,no
209,58,admin,married,secondary,no,Middle-Market,Suburban,3095,2020-08-07 12:34:08.090202,yes,no,yes,yes,no,yes,yes
210,40,technician,married,tertiary,no,Middle-Market,Urban,3306,2020-03-09 02:46:31.822350,yes,no,yes,yes,no,yes,no
211,34,blue-collar,married,primary,no,Budget-Conscious,Urban,3377,2021-12-16 10:24:52.694719,yes,no,yes,no,no,no,no
212,48,services,married,secondary,no,High-Value,Urban,2130,2022-01-15 21:52:02.396247,yes,yes,no,yes,yes,no,yes
213,61,services,married,primary,no,Budget-Conscious,Urban,2880,2020-12-08 07:06:20.888180,yes,no,yes,yes,no,yes,yes
214,57,technician,married,tertiary,no,High-Value,Urban,3074,2025-03-12 15:49:04.873430,yes,yes,yes,no,yes,yes,no
