campaign_id,customer_segment,campaign_name,campaign_type,start_date,end_date,recommended_product_id,recommended_product_name,campaign_budget,total_campaign_cost,total_revenue_generated
40,Budget-Conscious,Personal Loan Campaign for Budget-Conscious,Mobile App Notifications,2022-09-30,2022-11-20,102,Personal Loan,46124.29,50272.52,103380.47
41,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2023-10-14,2023-11-26,107,Wealth Management,70581.18,30127.25,95956.04
42,Retired,Wealth Management Campaign for Retired,Email,2023-12-15,2024-01-22,107,Wealth Management,55462.62,88117.94,127436.3
43,Middle-Market,Credit Card Campaign for Middle-Market,Email,2023-01-28,2023-03-21,101,Credit Card,50180.77,28910.05,80820.05
44,Retired,Mortgage Campaign for Retired,Direct Mail,2022-06-01,2022-07-31,103,Mortgage,60875.23,104261.79,124615.78
45,Middle-Market,Credit Card Campaign for Middle-Market,SMS,2024-02-15,2024-03-27,101,Credit Card,42925.35,8408.03,15860.63
46,Budget-Conscious,Credit Card Campaign for Budget-Conscious,Mobile App Notifications,2024-02-02,2024-03-17,101,Credit Card,74231.08,25166.75,41925.5
47,High-Value,Investment Product Campaign for High-Value,Mobile App Notifications,2024-04-15,2024-05-18,105,Investment Product,90243.75,59610.43,136895.6
48,Young Professionals,Credit Card Campaign for Young Professionals,SMS,2023-02-09,2023-03-12,101,Credit Card,57246.05,46747.41,66415.81
49,High-Value,Wealth Management Campaign for High-Value,Mobile App Notifications,2023-05-12,2023-07-07,107,Wealth Management,61278.93,17627.31,40029.32
50,Middle-Market,Savings Account Campaign for Middle-Market,Email,2023-08-14,2023-10-07,104,Savings Account,66536.94,70299.37,160858.39
